DST_IP,IP_FRAG_OFF,HTTP_USER_AGENT,SRC_IP,PACKET_NO,DF_FLAG,TTL,MF_FLAG,PACKET_SIZE,TIMESTAMP,SUB_PROTOCOL,KNOWN_HOST_DEVICE
172.16.16.255,0,N/A,172.16.16.128,1,0,128,0,20,1258920198.461225000,N/A,Linux
239.255.255.250,0,N/A,172.16.16.128,2,0,1,0,20,1258920198.754318000,N/A,Linux
172.16.16.128,0,N/A,172.16.16.2,3,1,64,0,20,1258920198.756858000,N/A,Linux
224.0.1.60,0,N/A,172.16.16.128,4,1,4,0,20,1258920199.062790000,N/A,Linux
224.0.0.252,0,N/A,172.16.16.128,6,0,1,0,20,1258920199.215326000,N/A,Linux
224.0.0.252,0,N/A,172.16.16.128,8,0,1,0,20,1258920199.317438000,N/A,Linux
172.16.16.255,0,N/A,172.16.16.128,9,0,128,0,20,1258920199.518153000,N/A,Linux
205.203.140.65,0,N/A,172.16.16.128,12,1,128,0,20,1258920200.170456000,N/A,Linux
205.203.140.65,0,N/A,172.16.16.128,13,1,128,0,20,1258920200.170471000,N/A,Linux
205.203.140.65,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),172.16.16.128,14,1,128,0,20,1258920200.170476000,http,Linux
172.16.16.128,0,N/A,205.203.140.65,15,0,242,0,20,1258920200.224210000,N/A,Linux
172.16.16.128,0,N/A,205.203.140.65,16,0,51,0,20,1258920200.228052000,N/A,Linux
172.16.16.128,0,N/A,205.203.140.65,17,0,242,0,20,1258920200.234142000,N/A,Linux
172.16.16.128,0,N/A,205.203.140.65,18,0,242,0,20,1258920200.234287000,N/A,Linux
205.203.140.65,0,N/A,172.16.16.128,19,1,128,0,20,1258920200.234337000,N/A,Linux
172.16.16.128,0,N/A,205.203.140.65,20,0,242,0,20,1258920200.235758000,N/A,Linux
172.16.16.128,0,N/A,205.203.140.65,21,0,242,0,20,1258920200.235789000,N/A,Linux
205.203.140.65,0,N/A,172.16.16.128,22,1,128,0,20,1258920200.235820000,N/A,Linux
172.16.16.128,0,N/A,205.203.140.65,23,0,242,0,20,1258920200.237652000,N/A,Linux
172.16.16.128,0,N/A,205.203.140.65,24,0,242,0,20,1258920200.238222000,N/A,Linux
172.16.16.128,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),205.203.140.65,25,0,242,0,20,1258920200.238225000,http,Linux
205.203.140.65,0,N/A,172.16.16.128,26,1,128,0,20,1258920200.238272000,N/A,Linux
172.16.16.255,0,N/A,172.16.16.128,27,0,128,0,20,1258920200.268505000,N/A,Linux
172.16.16.255,0,N/A,172.16.16.128,28,0,128,0,20,1258920201.018565000,N/A,Linux
4.2.2.1,0,N/A,172.16.16.128,29,0,255,0,20,1258920201.470627000,N/A,Linux
172.16.16.128,0,N/A,4.2.2.1,30,0,56,0,20,1258920201.512091000,N/A,Linux
157.166.226.25,0,N/A,172.16.16.128,31,1,128,0,20,1258920201.642095000,N/A,Linux
172.16.16.128,0,N/A,157.166.226.25,32,0,51,0,20,1258920201.702875000,N/A,Linux
157.166.226.25,0,N/A,172.16.16.128,33,1,128,0,20,1258920201.702969000,N/A,Linux
209.85.225.148,0,N/A,172.16.16.128,34,1,128,0,20,1258920201.703181000,N/A,Linux
209.85.225.118,0,N/A,172.16.16.128,35,1,128,0,20,1258920201.703288000,N/A,Linux
209.85.225.118,0,N/A,172.16.16.128,36,1,128,0,20,1258920201.703354000,N/A,Linux
209.85.225.133,0,N/A,172.16.16.128,37,1,128,0,20,1258920201.703448000,N/A,Linux
209.85.225.133,0,N/A,172.16.16.128,38,1,128,0,20,1258920201.703517000,N/A,Linux
157.166.226.25,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),172.16.16.128,39,1,128,0,20,1258920201.703536000,http,Linux
209.85.225.133,0,N/A,172.16.16.128,40,1,128,0,20,1258920201.703582000,N/A,Linux
209.85.225.133,0,N/A,172.16.16.128,41,1,128,0,20,1258920201.703658000,N/A,Linux
209.85.225.133,0,N/A,172.16.16.128,42,1,128,0,20,1258920201.703747000,N/A,Linux
209.85.225.118,0,N/A,172.16.16.128,43,1,128,0,20,1258920201.703864000,N/A,Linux
