PACKET_SIZE,SRC_IP,TTL,DST_IP,KNOWN_HOST_DEVICE,IP_FRAG_OFF,PACKET_NO,MF_FLAG,TIMESTAMP,DF_FLAG
20,192.168.86.21,64,52.96.57.34,MacOS,0,1,0,1666897669.673713000,1
20,52.96.57.34,241,192.168.86.21,MacOS,0,2,0,1666897669.723570000,1
20,192.168.86.21,64,140.82.112.26,MacOS,0,3,0,1666897670.427628000,0
20,140.82.112.26,49,192.168.86.21,MacOS,0,4,0,1666897670.471778000,1
20,192.168.86.23,255,224.0.0.251,MacOS,0,5,0,1666897672.587611000,0
20,192.168.86.21,255,224.0.0.251,MacOS,0,7,0,1666897674.523106000,0
20,52.96.57.34,241,192.168.86.21,MacOS,0,9,0,1666897674.656960000,1
20,192.168.86.21,64,52.96.57.34,MacOS,0,10,0,1666897674.660267000,1
20,162.159.130.234,57,192.168.86.21,MacOS,0,12,0,1666897675.356645000,1
20,192.168.86.21,64,162.159.130.234,MacOS,0,13,0,1666897675.356762000,1
20,162.159.130.234,57,192.168.86.21,MacOS,0,14,0,1666897678.838183000,1
20,192.168.86.21,64,162.159.130.234,MacOS,0,15,0,1666897678.838276000,1
20,192.168.86.21,64,17.248.131.29,MacOS,0,16,0,1666897679.101111000,1
20,192.168.86.21,64,17.248.131.29,MacOS,0,17,0,1666897679.103078000,1
20,17.248.131.29,53,192.168.86.21,MacOS,0,18,0,1666897679.111717000,1
20,17.248.131.29,46,192.168.86.21,MacOS,0,19,0,1666897679.112449000,1
20,192.168.86.21,64,142.251.35.202,MacOS,0,20,0,1666897680.732514000,1
20,142.251.35.202,57,192.168.86.21,MacOS,0,21,0,1666897680.744277000,1
20,192.168.86.21,64,108.138.156.125,MacOS,0,22,0,1666897681.902265000,0
20,108.138.156.125,248,192.168.86.21,MacOS,0,23,0,1666897681.912000000,0
20,162.159.130.234,57,192.168.86.21,MacOS,0,24,0,1666897682.421957000,1
20,192.168.86.21,64,162.159.130.234,MacOS,0,25,0,1666897682.422059000,1
20,142.251.35.202,57,192.168.86.21,MacOS,0,26,0,1666897683.036338000,1
20,192.168.86.21,64,142.251.35.202,MacOS,0,27,0,1666897683.037990000,1
20,162.159.130.234,57,192.168.86.21,MacOS,0,28,0,1666897683.446009000,1
20,192.168.86.21,64,162.159.130.234,MacOS,0,29,0,1666897683.446105000,1
20,140.82.112.26,49,192.168.86.21,MacOS,0,30,0,1666897685.391596000,1
20,192.168.86.21,64,140.82.112.26,MacOS,0,31,0,1666897685.391781000,1
20,192.168.86.21,64,140.82.112.26,MacOS,0,32,0,1666897685.391919000,1
20,140.82.112.26,49,192.168.86.21,MacOS,0,33,0,1666897685.430141000,1
20,142.251.35.202,57,192.168.86.21,MacOS,0,34,0,1666897686.005755000,1
20,192.168.86.21,64,142.251.35.202,MacOS,0,35,0,1666897686.007663000,1
20,0.0.0.0,2,255.255.255.255,MacOS,0,37,0,1666897688.356978000,0
20,192.168.86.21,64,52.96.57.34,MacOS,0,38,0,1666897689.657100000,1
20,52.96.57.34,241,192.168.86.21,MacOS,0,39,0,1666897689.703095000,1
20,192.168.86.21,64,142.250.113.100,MacOS,0,40,0,1666897690.586550000,1
20,192.168.86.21,64,142.250.113.100,MacOS,0,41,0,1666897690.594245000,1
20,142.250.113.100,56,192.168.86.21,MacOS,0,42,0,1666897690.602499000,1
20,142.250.113.100,56,192.168.86.21,MacOS,0,43,0,1666897690.602500000,1
20,192.168.86.21,64,142.250.113.100,MacOS,0,44,0,1666897690.603897000,1
20,192.168.86.21,64,142.250.113.100,MacOS,0,45,0,1666897690.604232000,1
20,192.168.86.21,64,142.250.113.100,MacOS,0,46,0,1666897690.605153000,1
20,192.168.86.21,64,142.250.113.100,MacOS,0,47,0,1666897690.605279000,1
20,192.168.86.21,64,142.250.113.100,MacOS,0,48,0,1666897690.605319000,1
20,142.250.113.100,56,192.168.86.21,MacOS,0,49,0,1666897690.610768000,1
20,142.250.113.100,56,192.168.86.21,MacOS,0,50,0,1666897690.612957000,1
20,142.250.113.100,58,192.168.86.21,MacOS,0,51,0,1666897690.612959000,1
20,142.250.113.100,58,192.168.86.21,MacOS,0,52,0,1666897690.612959000,1
20,192.168.86.21,64,142.250.113.100,MacOS,0,53,0,1666897690.613599000,1
20,142.250.113.100,58,192.168.86.21,MacOS,0,54,0,1666897690.653670000,1
20,142.250.113.100,58,192.168.86.21,MacOS,0,55,0,1666897690.653671000,1
20,192.168.86.21,64,142.250.113.100,MacOS,0,56,0,1666897690.653974000,1
20,192.168.86.21,64,142.250.113.100,MacOS,0,57,0,1666897690.679269000,1
20,142.250.113.100,58,192.168.86.21,MacOS,0,58,0,1666897690.685758000,1
20,192.168.86.21,64,162.159.130.234,MacOS,0,59,0,1666897691.321190000,1
20,192.168.86.21,64,162.159.130.234,MacOS,0,60,0,1666897691.321702000,1
20,162.159.130.234,57,192.168.86.21,MacOS,0,61,0,1666897691.337200000,1
20,192.168.86.21,64,162.159.130.234,MacOS,0,62,0,1666897691.337464000,1
20,192.168.86.21,64,192.168.86.1,MacOS,0,63,0,1666897691.922391000,0
20,192.168.86.1,64,192.168.86.21,MacOS,0,64,0,1666897691.955377000,1
20,192.168.86.21,64,140.82.113.6,MacOS,0,65,0,1666897691.955682000,1
20,140.82.113.6,48,192.168.86.21,MacOS,0,66,0,1666897691.997806000,1
20,192.168.86.21,64,140.82.113.6,MacOS,0,67,0,1666897691.997919000,1
20,192.168.86.21,64,140.82.113.6,MacOS,0,68,0,1666897691.998412000,1
20,140.82.113.6,48,192.168.86.21,MacOS,0,69,0,1666897692.044152000,1
20,140.82.113.6,48,192.168.86.21,MacOS,0,70,0,1666897692.044153000,1
20,192.168.86.21,64,140.82.113.6,MacOS,0,71,0,1666897692.044215000,1
20,192.168.86.21,64,140.82.113.6,MacOS,0,72,0,1666897692.044258000,1
20,192.168.86.21,64,140.82.113.6,MacOS,0,73,0,1666897692.044918000,1
20,192.168.86.21,64,140.82.113.6,MacOS,0,74,0,1666897692.045094000,1
20,192.168.86.21,64,140.82.113.6,MacOS,0,75,0,1666897692.045247000,1
20,140.82.113.6,48,192.168.86.21,MacOS,0,76,0,1666897692.084287000,1
20,140.82.113.6,48,192.168.86.21,MacOS,0,77,0,1666897692.084288000,1
20,140.82.113.6,48,192.168.86.21,MacOS,0,78,0,1666897692.084288000,1
20,192.168.86.21,64,140.82.113.6,MacOS,0,79,0,1666897692.084391000,1
20,140.82.113.6,48,192.168.86.21,MacOS,0,80,0,1666897692.085079000,1
20,192.168.86.21,64,140.82.113.6,MacOS,0,81,0,1666897692.085172000,1
20,192.168.86.21,64,140.82.113.6,MacOS,0,82,0,1666897692.085475000,1
20,140.82.113.6,48,192.168.86.21,MacOS,0,83,0,1666897692.157573000,1
20,192.168.86.21,64,140.82.113.6,MacOS,0,84,0,1666897692.157659000,1
20,192.168.86.21,64,140.82.113.6,MacOS,0,85,0,1666897692.158308000,1
20,140.82.113.6,48,192.168.86.21,MacOS,0,86,0,1666897692.241507000,1
