PACKET_NO,PACKET_SIZE,TTL,MF_FLAG,IP_FRAG_OFF,TIMESTAMP,SRC_IP,SUB_PROTOCOL,KNOWN_HOST_DEVICE,DST_IP,DF_FLAG,HTTP_USER_AGENT
5,20,53,0,0,1663877064.358584000,162.159.133.234,N/A,Windows,10.169.169.21,1,N/A
6,20,128,0,0,1663877064.398792000,10.169.169.21,N/A,Windows,162.159.133.234,1,N/A
10,20,53,0,0,1663877065.586375000,162.159.133.234,N/A,Windows,10.169.169.21,1,N/A
11,20,128,0,0,1663877065.627037000,10.169.169.21,N/A,Windows,162.159.133.234,1,N/A
12,20,53,0,0,1663877066.409957000,162.159.133.234,N/A,Windows,10.169.169.21,1,N/A
13,20,128,0,0,1663877066.451209000,10.169.169.21,N/A,Windows,162.159.133.234,1,N/A
15,20,128,0,0,1663877068.644652000,10.169.169.21,N/A,Windows,140.82.112.26,1,N/A
16,20,48,0,0,1663877068.684704000,140.82.112.26,N/A,Windows,10.169.169.21,1,N/A
25,20,128,0,0,1663877072.844875000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
26,20,128,0,0,1663877072.862411000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
27,20,128,0,0,1663877072.862609000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
28,20,55,0,0,1663877072.868413000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
29,20,118,0,0,1663877072.868413000,34.98.127.226,N/A,Windows,10.169.169.21,0,N/A
30,20,118,0,0,1663877072.868673000,34.98.127.226,N/A,Windows,10.169.169.21,0,N/A
31,20,118,0,0,1663877072.869101000,34.98.127.226,N/A,Windows,10.169.169.21,0,N/A
32,20,128,0,0,1663877072.869967000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
33,20,128,0,0,1663877072.870181000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
34,20,55,0,0,1663877072.874296000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
35,20,55,0,0,1663877072.874675000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
36,20,128,0,0,1663877072.875011000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
