TCP_WINDOW_SIZE,TCP_OPTIONS,DST_IP,TIMESTAMP,DST_PORT,TCP_HDR_LEN,TCP_FLAGS,TCP_ACK,MF_FLAG,TTL,PROTOCOL,TCP_SEQ,PACKET_NO,TCP_URP,DF_FLAG,PACKET_SIZE,SRC_PORT,KNOWN_HOST_DEVICE,IP_FRAG_OFF,SRC_IP
N/A,N/A,172.16.16.255,1258920198.461225000,N/A,N/A,N/A,N/A,0,128,N/A,N/A,1,N/A,0,20,N/A,Linux,0,172.16.16.128
N/A,N/A,239.255.255.250,1258920198.754318000,N/A,N/A,N/A,N/A,0,1,N/A,N/A,2,N/A,0,20,N/A,Linux,0,172.16.16.128
N/A,N/A,172.16.16.128,1258920198.756858000,N/A,N/A,N/A,N/A,0,64,N/A,N/A,3,N/A,1,20,N/A,Linux,0,172.16.16.2
N/A,N/A,224.0.1.60,1258920199.062790000,N/A,N/A,N/A,N/A,0,4,N/A,N/A,4,N/A,1,20,N/A,Linux,0,172.16.16.128
N/A,N/A,224.0.0.252,1258920199.215326000,N/A,N/A,N/A,N/A,0,1,N/A,N/A,6,N/A,0,20,N/A,Linux,0,172.16.16.128
N/A,N/A,224.0.0.252,1258920199.317438000,N/A,N/A,N/A,N/A,0,1,N/A,N/A,8,N/A,0,20,N/A,Linux,0,172.16.16.128
N/A,N/A,172.16.16.255,1258920199.518153000,N/A,N/A,N/A,N/A,0,128,N/A,N/A,9,N/A,0,20,N/A,Linux,0,172.16.16.128
16560,N/A,205.203.140.65,1258920200.170456000,80,20,·······A····,1,0,128,tcp,639657635,12,0,1,20,2905,Linux,0,172.16.16.128
16560,N/A,205.203.140.65,1258920200.170471000,80,20,·······A····,1,0,128,tcp,639659015,13,0,1,20,2905,Linux,0,172.16.16.128
16560,N/A,205.203.140.65,1258920200.170476000,80,20,·······AP···,1,0,128,tcp,639660395,14,0,1,20,2905,Linux,0,172.16.16.128
8190,N/A,172.16.16.128,1258920200.224210000,2905,20,·······A····,2761,0,242,tcp,1625217054,15,0,0,20,80,Linux,0,205.203.140.65
34500,N/A,172.16.16.128,1258920200.228052000,2905,20,·······A····,2761,0,51,tcp,1625217054,16,0,0,20,80,Linux,0,205.203.140.65
34500,N/A,172.16.16.128,1258920200.234142000,2905,20,·······A····,2830,0,242,tcp,1625217054,17,0,0,20,80,Linux,0,205.203.140.65
34500,N/A,172.16.16.128,1258920200.234287000,2905,20,·······A····,2830,0,242,tcp,1625218434,18,0,0,20,80,Linux,0,205.203.140.65
16560,N/A,205.203.140.65,1258920200.234337000,80,20,·······A····,1461,0,128,tcp,639660464,19,0,1,20,2905,Linux,0,172.16.16.128
34500,N/A,172.16.16.128,1258920200.235758000,2905,20,·······A····,2830,0,242,tcp,1625218514,20,0,0,20,80,Linux,0,205.203.140.65
34500,N/A,172.16.16.128,1258920200.235789000,2905,20,·······A····,2830,0,242,tcp,1625219894,21,0,0,20,80,Linux,0,205.203.140.65
16560,N/A,205.203.140.65,1258920200.235820000,80,20,·······A····,2921,0,128,tcp,639660464,22,0,1,20,2905,Linux,0,172.16.16.128
34500,N/A,172.16.16.128,1258920200.237652000,2905,20,·······A····,2830,0,242,tcp,1625219974,23,0,0,20,80,Linux,0,205.203.140.65
34500,N/A,172.16.16.128,1258920200.238222000,2905,20,·······A····,2830,0,242,tcp,1625221354,24,0,0,20,80,Linux,0,205.203.140.65
34500,N/A,172.16.16.128,1258920200.238225000,2905,20,·······AP···,2830,0,242,tcp,1625221434,25,0,0,20,80,Linux,0,205.203.140.65
16560,N/A,205.203.140.65,1258920200.238272000,80,20,·······A····,4938,0,128,tcp,639660464,26,0,1,20,2905,Linux,0,172.16.16.128
N/A,N/A,172.16.16.255,1258920200.268505000,N/A,N/A,N/A,N/A,0,128,N/A,N/A,27,N/A,0,20,N/A,Linux,0,172.16.16.128
N/A,N/A,172.16.16.255,1258920201.018565000,N/A,N/A,N/A,N/A,0,128,N/A,N/A,28,N/A,0,20,N/A,Linux,0,172.16.16.128
N/A,N/A,4.2.2.1,1258920201.470627000,N/A,N/A,N/A,N/A,0,255,N/A,N/A,29,N/A,0,20,N/A,Linux,0,172.16.16.128
N/A,N/A,172.16.16.128,1258920201.512091000,N/A,N/A,N/A,N/A,0,56,N/A,N/A,30,N/A,0,20,N/A,Linux,0,4.2.2.1
8192,02:04:05:b4:01:03:03:02:01:01:04:02,157.166.226.25,1258920201.642095000,80,32,··········S·,0,0,128,tcp,2094805014,31,0,1,20,2918,Linux,0,172.16.16.128
5840,02:04:05:7e:01:01:04:02:01:03:03:07,172.16.16.128,1258920201.702875000,2918,32,·······A··S·,1,0,51,tcp,1516154519,32,0,0,20,80,Linux,0,157.166.226.25
4218,N/A,157.166.226.25,1258920201.702969000,80,20,·······A····,1,0,128,tcp,2094805015,33,0,1,20,2918,Linux,0,172.16.16.128
0,N/A,209.85.225.148,1258920201.703181000,80,20,·······A·R··,1,0,128,tcp,2003725889,34,0,1,20,2867,Linux,0,172.16.16.128
0,N/A,209.85.225.118,1258920201.703288000,80,20,·······A·R··,1,0,128,tcp,1479685855,35,0,1,20,2866,Linux,0,172.16.16.128
0,N/A,209.85.225.118,1258920201.703354000,80,20,·······A·R··,1,0,128,tcp,1436119662,36,0,1,20,2865,Linux,0,172.16.16.128
0,N/A,209.85.225.133,1258920201.703448000,80,20,·······A·R··,1,0,128,tcp,4045636447,37,0,1,20,2864,Linux,0,172.16.16.128
0,N/A,209.85.225.133,1258920201.703517000,80,20,·······A·R··,1,0,128,tcp,4229746136,38,0,1,20,2863,Linux,0,172.16.16.128
4218,N/A,157.166.226.25,1258920201.703536000,80,20,·······AP···,1,0,128,tcp,2094805015,39,0,1,20,2918,Linux,0,172.16.16.128
0,N/A,209.85.225.133,1258920201.703582000,80,20,·······A·R··,1,0,128,tcp,2471614667,40,0,1,20,2862,Linux,0,172.16.16.128
0,N/A,209.85.225.133,1258920201.703658000,80,20,·······A·R··,1,0,128,tcp,1789150122,41,0,1,20,2859,Linux,0,172.16.16.128
0,N/A,209.85.225.133,1258920201.703747000,80,20,·······A·R··,1,0,128,tcp,186894945,42,0,1,20,2858,Linux,0,172.16.16.128
0,N/A,209.85.225.118,1258920201.703864000,80,20,·······A·R··,1,0,128,tcp,361723220,43,0,1,20,2861,Linux,0,172.16.16.128
0,N/A,209.85.225.118,1258920201.703928000,80,20,·······A·R··,1,0,128,tcp,559424056,44,0,1,20,2870,Linux,0,172.16.16.128
0,N/A,209.85.225.118,1258920201.703992000,80,20,·······A·R··,1,0,128,tcp,1118990060,45,0,1,20,2860,Linux,0,172.16.16.128
0,N/A,74.125.166.28,1258920201.704075000,80,20,·······A·R··,1,0,128,tcp,4098227761,46,0,1,20,2857,Linux,0,172.16.16.128
0,N/A,74.125.166.28,1258920201.704147000,80,20,·······A·R··,1,0,128,tcp,842158564,47,0,1,20,2856,Linux,0,172.16.16.128
0,N/A,74.125.95.138,1258920201.704235000,80,20,·······A·R··,1,0,128,tcp,2103614705,48,0,1,20,2855,Linux,0,172.16.16.128
0,N/A,205.203.139.162,1258920201.704352000,80,20,·······A·R··,1,0,128,tcp,733327732,49,0,1,20,2851,Linux,0,172.16.16.128
0,N/A,74.217.1.81,1258920201.704468000,80,20,·······A·R··,1,0,128,tcp,2295741994,50,0,1,20,2848,Linux,0,172.16.16.128
0,N/A,8.18.91.65,1258920201.704580000,80,20,·······A·R··,1,0,128,tcp,3604954437,51,0,1,20,2847,Linux,0,172.16.16.128
