TTL,TCP_OPTIONS,TCP_URP,PACKET_NO,PACKET_SIZE,TCP_WINDOW_SIZE,DF_FLAG,TCP_HDR_LEN,MF_FLAG,TIMESTAMP,IP_FRAG_OFF,SRC_PORT,KNOWN_HOST_DEVICE,DST_PORT,SRC_IP,DST_IP,TCP_ACK,TCP_SEQ,TCP_FLAGS,PROTOCOL
64,N/A,N/A,1,20,N/A,1,N/A,0,1666897669.673713000,0,N/A,MacOS,N/A,192.168.86.21,52.96.57.34,N/A,N/A,N/A,N/A
241,N/A,N/A,2,20,N/A,1,N/A,0,1666897669.723570000,0,N/A,MacOS,N/A,52.96.57.34,192.168.86.21,N/A,N/A,N/A,N/A
64,N/A,0,3,20,2048,0,20,0,1666897670.427628000,0,56448,MacOS,443,192.168.86.21,140.82.112.26,1,79416466,·······A····,tcp
49,01:01:08:0a:30:97:39:af:c4:8e:a3:24,0,4,20,70,1,32,0,1666897670.471778000,0,443,MacOS,56448,140.82.112.26,192.168.86.21,2,1061432540,·······A····,tcp
255,N/A,N/A,5,20,N/A,0,N/A,0,1666897672.587611000,0,N/A,MacOS,N/A,192.168.86.23,224.0.0.251,N/A,N/A,N/A,N/A
255,N/A,N/A,7,20,N/A,0,N/A,0,1666897674.523106000,0,N/A,MacOS,N/A,192.168.86.21,224.0.0.251,N/A,N/A,N/A,N/A
241,N/A,N/A,9,20,N/A,1,N/A,0,1666897674.656960000,0,N/A,MacOS,N/A,52.96.57.34,192.168.86.21,N/A,N/A,N/A,N/A
64,N/A,N/A,10,20,N/A,1,N/A,0,1666897674.660267000,0,N/A,MacOS,N/A,192.168.86.21,52.96.57.34,N/A,N/A,N/A,N/A
57,N/A,0,12,20,8,1,20,0,1666897675.356645000,0,443,MacOS,56447,162.159.130.234,192.168.86.21,1,3674959656,·······AP···,tcp
64,N/A,0,13,20,4095,1,20,0,1666897675.356762000,0,56447,MacOS,443,192.168.86.21,162.159.130.234,45,3511176516,·······A····,tcp
57,N/A,0,14,20,8,1,20,0,1666897678.838183000,0,443,MacOS,56447,162.159.130.234,192.168.86.21,1,3674959700,·······AP···,tcp
64,N/A,0,15,20,4094,1,20,0,1666897678.838276000,0,56447,MacOS,443,192.168.86.21,162.159.130.234,134,3511176516,·······A····,tcp
64,N/A,N/A,16,20,N/A,1,N/A,0,1666897679.101111000,0,N/A,MacOS,N/A,192.168.86.21,17.248.131.29,N/A,N/A,N/A,N/A
64,N/A,N/A,17,20,N/A,1,N/A,0,1666897679.103078000,0,N/A,MacOS,N/A,192.168.86.21,17.248.131.29,N/A,N/A,N/A,N/A
53,N/A,N/A,18,20,N/A,1,N/A,0,1666897679.111717000,0,N/A,MacOS,N/A,17.248.131.29,192.168.86.21,N/A,N/A,N/A,N/A
46,N/A,N/A,19,20,N/A,1,N/A,0,1666897679.112449000,0,N/A,MacOS,N/A,17.248.131.29,192.168.86.21,N/A,N/A,N/A,N/A
64,N/A,N/A,20,20,N/A,1,N/A,0,1666897680.732514000,0,N/A,MacOS,N/A,192.168.86.21,142.251.35.202,N/A,N/A,N/A,N/A
57,N/A,N/A,21,20,N/A,1,N/A,0,1666897680.744277000,0,N/A,MacOS,N/A,142.251.35.202,192.168.86.21,N/A,N/A,N/A,N/A
64,N/A,0,22,20,2048,0,20,0,1666897681.902265000,0,56506,MacOS,443,192.168.86.21,108.138.156.125,1,3929612546,·······A····,tcp
248,01:01:08:0a:ed:9e:6a:72:f4:03:39:97,0,23,20,133,0,32,0,1666897681.912000000,0,443,MacOS,56506,108.138.156.125,192.168.86.21,2,3425349524,·······A····,tcp
57,N/A,0,24,20,8,1,20,0,1666897682.421957000,0,443,MacOS,56447,162.159.130.234,192.168.86.21,1,3674959789,·······AP···,tcp
64,N/A,0,25,20,4094,1,20,0,1666897682.422059000,0,56447,MacOS,443,192.168.86.21,162.159.130.234,250,3511176516,·······A····,tcp
57,N/A,N/A,26,20,N/A,1,N/A,0,1666897683.036338000,0,N/A,MacOS,N/A,142.251.35.202,192.168.86.21,N/A,N/A,N/A,N/A
64,N/A,N/A,27,20,N/A,1,N/A,0,1666897683.037990000,0,N/A,MacOS,N/A,192.168.86.21,142.251.35.202,N/A,N/A,N/A,N/A
57,N/A,0,28,20,8,1,20,0,1666897683.446009000,0,443,MacOS,56447,162.159.130.234,192.168.86.21,1,3674959905,·······AP···,tcp
64,N/A,0,29,20,4095,1,20,0,1666897683.446105000,0,56447,MacOS,443,192.168.86.21,162.159.130.234,295,3511176516,·······A····,tcp
49,01:01:08:0a:30:97:73:c4:c4:8e:a3:24,0,30,20,70,1,32,0,1666897685.391596000,0,443,MacOS,56448,140.82.112.26,192.168.86.21,2,1061432540,·······AP···,tcp
64,01:01:08:0a:c4:8f:8d:89:30:97:73:c4,0,31,20,2048,1,32,0,1666897685.391781000,0,56448,MacOS,443,192.168.86.21,140.82.112.26,27,79416467,·······A····,tcp
64,01:01:08:0a:c4:8f:8d:89:30:97:73:c4,0,32,20,2048,1,32,0,1666897685.391919000,0,56448,MacOS,443,192.168.86.21,140.82.112.26,27,79416467,·······AP···,tcp
49,01:01:08:0a:30:97:74:1e:c4:8f:8d:89,0,33,20,70,1,32,0,1666897685.430141000,0,443,MacOS,56448,140.82.112.26,192.168.86.21,32,1061432566,·······A····,tcp
57,N/A,N/A,34,20,N/A,1,N/A,0,1666897686.005755000,0,N/A,MacOS,N/A,142.251.35.202,192.168.86.21,N/A,N/A,N/A,N/A
64,N/A,N/A,35,20,N/A,1,N/A,0,1666897686.007663000,0,N/A,MacOS,N/A,192.168.86.21,142.251.35.202,N/A,N/A,N/A,N/A
2,N/A,N/A,37,20,N/A,0,N/A,0,1666897688.356978000,0,N/A,MacOS,N/A,0.0.0.0,255.255.255.255,N/A,N/A,N/A,N/A
64,N/A,N/A,38,20,N/A,1,N/A,0,1666897689.657100000,0,N/A,MacOS,N/A,192.168.86.21,52.96.57.34,N/A,N/A,N/A,N/A
241,N/A,N/A,39,20,N/A,1,N/A,0,1666897689.703095000,0,N/A,MacOS,N/A,52.96.57.34,192.168.86.21,N/A,N/A,N/A,N/A
64,N/A,N/A,40,20,N/A,1,N/A,0,1666897690.586550000,0,N/A,MacOS,N/A,192.168.86.21,142.250.113.100,N/A,N/A,N/A,N/A
64,N/A,N/A,41,20,N/A,1,N/A,0,1666897690.594245000,0,N/A,MacOS,N/A,192.168.86.21,142.250.113.100,N/A,N/A,N/A,N/A
56,N/A,N/A,42,20,N/A,1,N/A,0,1666897690.602499000,0,N/A,MacOS,N/A,142.250.113.100,192.168.86.21,N/A,N/A,N/A,N/A
56,N/A,N/A,43,20,N/A,1,N/A,0,1666897690.602500000,0,N/A,MacOS,N/A,142.250.113.100,192.168.86.21,N/A,N/A,N/A,N/A
64,N/A,N/A,44,20,N/A,1,N/A,0,1666897690.603897000,0,N/A,MacOS,N/A,192.168.86.21,142.250.113.100,N/A,N/A,N/A,N/A
64,N/A,N/A,45,20,N/A,1,N/A,0,1666897690.604232000,0,N/A,MacOS,N/A,192.168.86.21,142.250.113.100,N/A,N/A,N/A,N/A
64,N/A,N/A,46,20,N/A,1,N/A,0,1666897690.605153000,0,N/A,MacOS,N/A,192.168.86.21,142.250.113.100,N/A,N/A,N/A,N/A
64,N/A,N/A,47,20,N/A,1,N/A,0,1666897690.605279000,0,N/A,MacOS,N/A,192.168.86.21,142.250.113.100,N/A,N/A,N/A,N/A
64,N/A,N/A,48,20,N/A,1,N/A,0,1666897690.605319000,0,N/A,MacOS,N/A,192.168.86.21,142.250.113.100,N/A,N/A,N/A,N/A
56,N/A,N/A,49,20,N/A,1,N/A,0,1666897690.610768000,0,N/A,MacOS,N/A,142.250.113.100,192.168.86.21,N/A,N/A,N/A,N/A
56,N/A,N/A,50,20,N/A,1,N/A,0,1666897690.612957000,0,N/A,MacOS,N/A,142.250.113.100,192.168.86.21,N/A,N/A,N/A,N/A
58,N/A,N/A,51,20,N/A,1,N/A,0,1666897690.612959000,0,N/A,MacOS,N/A,142.250.113.100,192.168.86.21,N/A,N/A,N/A,N/A
58,N/A,N/A,52,20,N/A,1,N/A,0,1666897690.612959000,0,N/A,MacOS,N/A,142.250.113.100,192.168.86.21,N/A,N/A,N/A,N/A
64,N/A,N/A,53,20,N/A,1,N/A,0,1666897690.613599000,0,N/A,MacOS,N/A,192.168.86.21,142.250.113.100,N/A,N/A,N/A,N/A
58,N/A,N/A,54,20,N/A,1,N/A,0,1666897690.653670000,0,N/A,MacOS,N/A,142.250.113.100,192.168.86.21,N/A,N/A,N/A,N/A
58,N/A,N/A,55,20,N/A,1,N/A,0,1666897690.653671000,0,N/A,MacOS,N/A,142.250.113.100,192.168.86.21,N/A,N/A,N/A,N/A
