DST_IP,KNOWN_HOST_DEVICE,SRC_PORT,TCP_OPTIONS,DF_FLAG,TCP_HDR_LEN,PACKET_NO,SRC_IP,TCP_SEQ,PROTOCOL,TCP_WINDOW_SIZE,TCP_ACK,TTL,IP_FRAG_OFF,DST_PORT,MF_FLAG,TIMESTAMP,PACKET_SIZE,TCP_URP,TCP_FLAGS
10.169.161.162,Windows,443,N/A,1,20,1,35.169.217.52,2443970062,tcp,346,1,42,0,1077,0,1663877499.820012000,20,0,·······AP···
35.169.217.52,Windows,1077,N/A,1,20,2,10.169.161.162,470033600,tcp,511,510,128,0,443,0,1663877499.837987000,20,0,·······AP···
10.169.161.162,Windows,443,N/A,1,20,3,35.169.217.52,2443970571,tcp,361,1894,42,0,1077,0,1663877499.877451000,20,0,·······A····
142.251.33.36,Windows,1197,02:04:05:b4:01:03:03:08:01:01:04:02,1,32,4,10.169.161.162,2339530235,tcp,64240,0,128,0,443,0,1663877503.557543000,20,0,··········S·
10.169.161.162,Windows,443,02:04:05:84:01:01:04:02:01:03:03:08,1,32,5,142.251.33.36,3162042541,tcp,65535,1,118,0,1197,0,1663877503.566059000,20,0,·······A··S·
142.251.33.36,Windows,1197,N/A,1,20,6,10.169.161.162,2339530236,tcp,512,1,128,0,443,0,1663877503.566268000,20,0,·······A····
142.251.33.36,Windows,1197,N/A,1,20,7,10.169.161.162,2339530236,tcp,512,1,128,0,443,0,1663877503.566675000,20,0,·······AP···
10.169.161.162,Windows,443,N/A,0,20,8,142.251.33.36,3162042542,tcp,261,518,118,0,1197,0,1663877503.571450000,20,0,·······A····
10.169.161.162,Windows,443,N/A,0,20,9,142.251.33.36,3162042542,tcp,261,518,118,0,1197,0,1663877503.571555000,20,0,·······A····
10.169.161.162,Windows,443,N/A,0,20,10,142.251.33.36,3162043954,tcp,261,518,118,0,1197,0,1663877503.572103000,20,0,·······A····
10.169.161.162,Windows,443,N/A,0,20,11,142.251.33.36,3162045366,tcp,261,518,118,0,1197,0,1663877503.572103000,20,0,·······A····
142.251.33.36,Windows,1197,N/A,1,20,12,10.169.161.162,2339530753,tcp,512,4237,128,0,443,0,1663877503.572151000,20,0,·······A····
10.169.161.162,Windows,443,N/A,0,20,13,142.251.33.36,3162046778,tcp,261,518,118,0,1197,0,1663877503.573442000,20,0,·······AP···
142.251.33.36,Windows,1197,N/A,1,20,14,10.169.161.162,2339530753,tcp,512,4404,128,0,443,0,1663877503.573497000,20,0,·······A····
142.251.33.36,Windows,1197,N/A,1,20,15,10.169.161.162,2339530753,tcp,512,4404,128,0,443,0,1663877503.574281000,20,0,·······AP···
142.251.33.36,Windows,1197,N/A,1,20,16,10.169.161.162,2339530827,tcp,512,4404,128,0,443,0,1663877503.574577000,20,0,·······AP···
142.251.33.36,Windows,1197,N/A,1,20,17,10.169.161.162,2339530919,tcp,512,4404,128,0,443,0,1663877503.574786000,20,0,·······AP···
10.169.161.162,Windows,443,N/A,0,20,18,142.251.33.36,3162046945,tcp,261,684,118,0,1197,0,1663877503.577454000,20,0,·······A····
10.169.161.162,Windows,443,N/A,0,20,19,142.251.33.36,3162046945,tcp,283,2439,118,0,1197,0,1663877503.577454000,20,0,·······A····
10.169.161.162,Windows,443,N/A,0,20,20,142.251.33.36,3162046945,tcp,283,2439,118,0,1197,0,1663877503.579032000,20,0,·······AP···
142.251.33.36,Windows,1197,N/A,1,20,21,10.169.161.162,2339532674,tcp,508,5254,128,0,443,0,1663877503.579256000,20,0,·······AP···
10.169.161.162,Windows,443,N/A,0,20,22,142.251.33.36,3162047795,tcp,283,2439,118,0,1197,0,1663877503.579496000,20,0,·······AP···
10.169.161.162,Windows,443,N/A,0,20,23,142.251.33.36,3162047826,tcp,283,2470,118,0,1197,0,1663877503.587545000,20,0,·······A····
142.251.33.36,Windows,1197,N/A,1,20,24,10.169.161.162,2339532705,tcp,508,5285,128,0,443,0,1663877503.630132000,20,0,·······A····
10.169.161.162,Windows,443,N/A,0,20,25,142.251.33.36,3162047826,tcp,283,2470,118,0,1197,0,1663877503.655546000,20,0,·······AP···
10.169.161.162,Windows,443,N/A,0,20,26,142.251.33.36,3162049101,tcp,283,2470,118,0,1197,0,1663877503.655902000,20,0,·······AP···
142.251.33.36,Windows,1197,N/A,1,20,27,10.169.161.162,2339532705,tcp,512,7364,128,0,443,0,1663877503.655976000,20,0,·······A····
10.169.161.162,Windows,443,N/A,0,20,28,142.251.33.36,3162049905,tcp,283,2470,118,0,1197,0,1663877503.666406000,20,0,·······AP···
10.169.161.162,Windows,443,N/A,0,20,29,142.251.33.36,3162049937,tcp,283,2470,118,0,1197,0,1663877503.666585000,20,0,·······AP···
10.169.161.162,Windows,443,N/A,0,20,30,142.251.33.36,3162049968,tcp,283,2470,118,0,1197,0,1663877503.666585000,20,0,·······AP···
142.251.33.36,Windows,1197,N/A,1,20,31,10.169.161.162,2339532705,tcp,512,7466,128,0,443,0,1663877503.666617000,20,0,·······A····
142.251.33.36,Windows,1197,N/A,1,20,32,10.169.161.162,2339532705,tcp,512,7466,128,0,443,0,1663877503.666746000,20,0,·······AP···
