SRC_IP,MF_FLAG,DF_FLAG,PACKET_NO,KNOWN_HOST_DEVICE,PACKET_SIZE,TIMESTAMP,TTL,DST_IP,IP_FRAG_OFF
172.16.16.128,0,0,1,Linux,20,1258920198.461225000,128,172.16.16.255,0
172.16.16.128,0,0,2,Linux,20,1258920198.754318000,1,239.255.255.250,0
172.16.16.2,0,1,3,Linux,20,1258920198.756858000,64,172.16.16.128,0
172.16.16.128,0,1,4,Linux,20,1258920199.062790000,4,224.0.1.60,0
172.16.16.128,0,0,6,Linux,20,1258920199.215326000,1,224.0.0.252,0
172.16.16.128,0,0,8,Linux,20,1258920199.317438000,1,224.0.0.252,0
172.16.16.128,0,0,9,Linux,20,1258920199.518153000,128,172.16.16.255,0
172.16.16.128,0,1,12,Linux,20,1258920200.170456000,128,205.203.140.65,0
172.16.16.128,0,1,13,Linux,20,1258920200.170471000,128,205.203.140.65,0
172.16.16.128,0,1,14,Linux,20,1258920200.170476000,128,205.203.140.65,0
205.203.140.65,0,0,15,Linux,20,1258920200.224210000,242,172.16.16.128,0
205.203.140.65,0,0,16,Linux,20,1258920200.228052000,51,172.16.16.128,0
205.203.140.65,0,0,17,Linux,20,1258920200.234142000,242,172.16.16.128,0
205.203.140.65,0,0,18,Linux,20,1258920200.234287000,242,172.16.16.128,0
172.16.16.128,0,1,19,Linux,20,1258920200.234337000,128,205.203.140.65,0
205.203.140.65,0,0,20,Linux,20,1258920200.235758000,242,172.16.16.128,0
205.203.140.65,0,0,21,Linux,20,1258920200.235789000,242,172.16.16.128,0
172.16.16.128,0,1,22,Linux,20,1258920200.235820000,128,205.203.140.65,0
205.203.140.65,0,0,23,Linux,20,1258920200.237652000,242,172.16.16.128,0
205.203.140.65,0,0,24,Linux,20,1258920200.238222000,242,172.16.16.128,0
205.203.140.65,0,0,25,Linux,20,1258920200.238225000,242,172.16.16.128,0
172.16.16.128,0,1,26,Linux,20,1258920200.238272000,128,205.203.140.65,0
172.16.16.128,0,0,27,Linux,20,1258920200.268505000,128,172.16.16.255,0
172.16.16.128,0,0,28,Linux,20,1258920201.018565000,128,172.16.16.255,0
172.16.16.128,0,0,29,Linux,20,1258920201.470627000,255,4.2.2.1,0
4.2.2.1,0,0,30,Linux,20,1258920201.512091000,56,172.16.16.128,0
172.16.16.128,0,1,31,Linux,20,1258920201.642095000,128,157.166.226.25,0
157.166.226.25,0,0,32,Linux,20,1258920201.702875000,51,172.16.16.128,0
172.16.16.128,0,1,33,Linux,20,1258920201.702969000,128,157.166.226.25,0
172.16.16.128,0,1,34,Linux,20,1258920201.703181000,128,209.85.225.148,0
172.16.16.128,0,1,35,Linux,20,1258920201.703288000,128,209.85.225.118,0
172.16.16.128,0,1,36,Linux,20,1258920201.703354000,128,209.85.225.118,0
172.16.16.128,0,1,37,Linux,20,1258920201.703448000,128,209.85.225.133,0
172.16.16.128,0,1,38,Linux,20,1258920201.703517000,128,209.85.225.133,0
172.16.16.128,0,1,39,Linux,20,1258920201.703536000,128,157.166.226.25,0
172.16.16.128,0,1,40,Linux,20,1258920201.703582000,128,209.85.225.133,0
172.16.16.128,0,1,41,Linux,20,1258920201.703658000,128,209.85.225.133,0
172.16.16.128,0,1,42,Linux,20,1258920201.703747000,128,209.85.225.133,0
172.16.16.128,0,1,43,Linux,20,1258920201.703864000,128,209.85.225.118,0
172.16.16.128,0,1,44,Linux,20,1258920201.703928000,128,209.85.225.118,0
172.16.16.128,0,1,45,Linux,20,1258920201.703992000,128,209.85.225.118,0
172.16.16.128,0,1,46,Linux,20,1258920201.704075000,128,74.125.166.28,0
172.16.16.128,0,1,47,Linux,20,1258920201.704147000,128,74.125.166.28,0
172.16.16.128,0,1,48,Linux,20,1258920201.704235000,128,74.125.95.138,0
172.16.16.128,0,1,49,Linux,20,1258920201.704352000,128,205.203.139.162,0
172.16.16.128,0,1,50,Linux,20,1258920201.704468000,128,74.217.1.81,0
172.16.16.128,0,1,51,Linux,20,1258920201.704580000,128,8.18.91.65,0
172.16.16.128,0,1,52,Linux,20,1258920201.704713000,128,74.125.95.155,0
172.16.16.128,0,1,53,Linux,20,1258920201.704817000,128,74.125.95.149,0
172.16.16.128,0,1,54,Linux,20,1258920201.704878000,128,74.125.95.149,0
172.16.16.128,0,1,55,Linux,20,1258920201.704950000,128,74.125.95.149,0
172.16.16.128,0,1,56,Linux,20,1258920201.705015000,128,74.125.95.149,0
172.16.16.128,0,1,57,Linux,20,1258920201.705167000,128,74.125.95.101,0
172.16.16.128,0,1,58,Linux,20,1258920201.705255000,128,209.85.225.106,0
172.16.16.128,0,0,59,Linux,20,1258920201.755697000,1,239.255.255.250,0
172.16.16.2,0,1,60,Linux,20,1258920201.758660000,64,172.16.16.128,0
157.166.226.25,0,0,61,Linux,20,1258920201.767236000,51,172.16.16.128,0
172.16.16.128,0,0,63,Linux,20,1258920201.770004000,1,224.0.0.252,0
157.166.226.25,0,0,64,Linux,20,1258920201.772880000,51,172.16.16.128,0
157.166.226.25,0,0,65,Linux,20,1258920201.773175000,51,172.16.16.128,0
172.16.16.128,0,1,66,Linux,20,1258920201.773219000,128,157.166.226.25,0
172.16.16.128,0,1,67,Linux,20,1258920201.778671000,128,204.160.104.126,0
172.16.16.128,0,1,68,Linux,20,1258920201.779067000,128,204.160.104.126,0
172.16.16.128,0,1,69,Linux,20,1258920201.779434000,128,204.160.104.126,0
172.16.16.128,0,1,70,Linux,20,1258920201.797053000,128,204.160.104.126,0
172.16.16.128,0,1,71,Linux,20,1258920201.797283000,128,204.160.104.126,0
172.16.16.128,0,1,72,Linux,20,1258920201.806330000,128,204.160.104.126,0
204.160.104.126,0,0,73,Linux,20,1258920201.819923000,56,172.16.16.128,0
172.16.16.128,0,1,74,Linux,20,1258920201.820012000,128,204.160.104.126,0
172.16.16.128,0,1,75,Linux,20,1258920201.820294000,128,204.160.104.126,0
204.160.104.126,0,0,76,Linux,20,1258920201.825328000,56,172.16.16.128,0
172.16.16.128,0,1,77,Linux,20,1258920201.825389000,128,204.160.104.126,0
172.16.16.128,0,1,78,Linux,20,1258920201.825766000,128,204.160.104.126,0
157.166.226.25,0,0,79,Linux,20,1258920201.831275000,51,172.16.16.128,0
157.166.226.25,0,0,80,Linux,20,1258920201.832468000,51,172.16.16.128,0
172.16.16.128,0,1,81,Linux,20,1258920201.832506000,128,157.166.226.25,0
157.166.226.25,0,0,82,Linux,20,1258920201.833694000,51,172.16.16.128,0
204.160.104.126,0,0,83,Linux,20,1258920201.833901000,56,172.16.16.128,0
172.16.16.128,0,1,84,Linux,20,1258920201.833942000,128,204.160.104.126,0
172.16.16.128,0,1,85,Linux,20,1258920201.834192000,128,204.160.104.126,0
204.160.104.126,0,0,86,Linux,20,1258920201.838590000,56,172.16.16.128,0
172.16.16.128,0,1,87,Linux,20,1258920201.838652000,128,204.160.104.126,0
172.16.16.128,0,1,88,Linux,20,1258920201.838887000,128,204.160.104.126,0
204.160.104.126,0,0,89,Linux,20,1258920201.844887000,56,172.16.16.128,0
172.16.16.128,0,1,90,Linux,20,1258920201.844945000,128,204.160.104.126,0
172.16.16.128,0,1,91,Linux,20,1258920201.845167000,128,204.160.104.126,0
204.160.104.126,0,0,92,Linux,20,1258920201.847989000,56,172.16.16.128,0
172.16.16.128,0,1,93,Linux,20,1258920201.848027000,128,204.160.104.126,0
172.16.16.128,0,1,94,Linux,20,1258920201.848210000,128,204.160.104.126,0
204.160.104.126,0,0,95,Linux,20,1258920201.864276000,56,172.16.16.128,0
204.160.104.126,0,0,96,Linux,20,1258920201.864969000,56,172.16.16.128,0
172.16.16.128,0,1,97,Linux,20,1258920201.865398000,128,204.160.104.126,0
172.16.16.128,0,0,99,Linux,20,1258920201.869765000,1,224.0.0.252,0
204.160.104.126,0,0,100,Linux,20,1258920201.875327000,56,172.16.16.128,0
204.160.104.126,0,0,101,Linux,20,1258920201.875330000,56,172.16.16.128,0
172.16.16.128,0,1,102,Linux,20,1258920201.876769000,128,204.160.104.126,0
204.160.104.126,0,0,103,Linux,20,1258920201.880121000,56,172.16.16.128,0
204.160.104.126,0,0,104,Linux,20,1258920201.881221000,56,172.16.16.128,0
172.16.16.128,0,1,105,Linux,20,1258920201.881443000,128,204.160.104.126,0
204.160.104.126,0,0,106,Linux,20,1258920201.885805000,56,172.16.16.128,0
204.160.104.126,0,0,107,Linux,20,1258920201.885909000,56,172.16.16.128,0
172.16.16.128,0,1,108,Linux,20,1258920201.886207000,128,204.160.104.126,0
157.166.226.25,0,0,109,Linux,20,1258920201.894047000,51,172.16.16.128,0
172.16.16.128,0,1,110,Linux,20,1258920201.894115000,128,157.166.226.25,0
157.166.226.25,0,0,111,Linux,20,1258920201.895259000,51,172.16.16.128,0
157.166.226.25,0,0,112,Linux,20,1258920201.897867000,51,172.16.16.128,0
172.16.16.128,0,1,113,Linux,20,1258920201.897908000,128,157.166.226.25,0
204.160.104.126,0,0,114,Linux,20,1258920201.898244000,56,172.16.16.128,0
204.160.104.126,0,0,115,Linux,20,1258920201.898246000,56,172.16.16.128,0
204.160.104.126,0,0,116,Linux,20,1258920201.898248000,56,172.16.16.128,0
204.160.104.126,0,0,117,Linux,20,1258920201.898382000,56,172.16.16.128,0
172.16.16.128,0,1,118,Linux,20,1258920201.899049000,128,204.160.104.126,0
172.16.16.128,0,1,119,Linux,20,1258920201.899159000,128,204.160.104.126,0
204.160.104.126,0,0,120,Linux,20,1258920201.908327000,56,172.16.16.128,0
172.16.16.128,0,1,121,Linux,20,1258920201.908596000,128,204.160.104.126,0
204.160.104.126,0,0,122,Linux,20,1258920201.919915000,56,172.16.16.128,0
172.16.16.128,0,1,123,Linux,20,1258920201.921969000,128,204.160.104.126,0
204.160.104.126,0,0,124,Linux,20,1258920201.928209000,56,172.16.16.128,0
172.16.16.128,0,1,125,Linux,20,1258920201.928990000,128,204.160.104.126,0
204.160.104.126,0,0,126,Linux,20,1258920201.933729000,56,172.16.16.128,0
172.16.16.128,0,1,127,Linux,20,1258920201.934392000,128,204.160.104.126,0
204.160.104.126,0,0,128,Linux,20,1258920201.946265000,56,172.16.16.128,0
172.16.16.128,0,1,129,Linux,20,1258920201.946593000,128,204.160.104.126,0
204.160.104.126,0,0,130,Linux,20,1258920201.947183000,56,172.16.16.128,0
