DF_FLAG,PACKET_NO,TLS_VERSION,SRC_IP,TLS_CIPHER_SUITES,SUB_PROTOCOL,TLS_EXTENSION_SIG_ALGS,DST_IP,TTL,MF_FLAG,PACKET_SIZE,TIMESTAMP,IP_FRAG_OFF,KNOWN_HOST_DEVICE
1,1,N/A,192.168.86.21,N/A,N/A,N/A,52.96.57.34,64,0,20,1666897669.673713000,0,MacOS
1,2,N/A,52.96.57.34,N/A,N/A,N/A,192.168.86.21,241,0,20,1666897669.723570000,0,MacOS
0,3,N/A,192.168.86.21,N/A,N/A,N/A,140.82.112.26,64,0,20,1666897670.427628000,0,MacOS
1,4,N/A,140.82.112.26,N/A,N/A,N/A,192.168.86.21,49,0,20,1666897670.471778000,0,MacOS
0,5,N/A,192.168.86.23,N/A,N/A,N/A,224.0.0.251,255,0,20,1666897672.587611000,0,MacOS
0,7,N/A,192.168.86.21,N/A,N/A,N/A,224.0.0.251,255,0,20,1666897674.523106000,0,MacOS
1,9,N/A,52.96.57.34,N/A,N/A,N/A,192.168.86.21,241,0,20,1666897674.656960000,0,MacOS
1,10,N/A,192.168.86.21,N/A,N/A,N/A,52.96.57.34,64,0,20,1666897674.660267000,0,MacOS
1,12,N/A,162.159.130.234,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897675.356645000,0,MacOS
1,13,N/A,192.168.86.21,N/A,N/A,N/A,162.159.130.234,64,0,20,1666897675.356762000,0,MacOS
1,14,N/A,162.159.130.234,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897678.838183000,0,MacOS
1,15,N/A,192.168.86.21,N/A,N/A,N/A,162.159.130.234,64,0,20,1666897678.838276000,0,MacOS
1,16,N/A,192.168.86.21,N/A,N/A,N/A,17.248.131.29,64,0,20,1666897679.101111000,0,MacOS
1,17,N/A,192.168.86.21,N/A,N/A,N/A,17.248.131.29,64,0,20,1666897679.103078000,0,MacOS
1,18,N/A,17.248.131.29,N/A,N/A,N/A,192.168.86.21,53,0,20,1666897679.111717000,0,MacOS
1,19,N/A,17.248.131.29,N/A,N/A,N/A,192.168.86.21,46,0,20,1666897679.112449000,0,MacOS
1,20,N/A,192.168.86.21,N/A,N/A,N/A,142.251.35.202,64,0,20,1666897680.732514000,0,MacOS
1,21,N/A,142.251.35.202,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897680.744277000,0,MacOS
0,22,N/A,192.168.86.21,N/A,N/A,N/A,108.138.156.125,64,0,20,1666897681.902265000,0,MacOS
0,23,N/A,108.138.156.125,N/A,N/A,N/A,192.168.86.21,248,0,20,1666897681.912000000,0,MacOS
1,24,N/A,162.159.130.234,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897682.421957000,0,MacOS
1,25,N/A,192.168.86.21,N/A,N/A,N/A,162.159.130.234,64,0,20,1666897682.422059000,0,MacOS
1,26,N/A,142.251.35.202,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897683.036338000,0,MacOS
1,27,N/A,192.168.86.21,N/A,N/A,N/A,142.251.35.202,64,0,20,1666897683.037990000,0,MacOS
1,28,N/A,162.159.130.234,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897683.446009000,0,MacOS
1,29,N/A,192.168.86.21,N/A,N/A,N/A,162.159.130.234,64,0,20,1666897683.446105000,0,MacOS
1,30,N/A,140.82.112.26,N/A,N/A,N/A,192.168.86.21,49,0,20,1666897685.391596000,0,MacOS
1,31,N/A,192.168.86.21,N/A,N/A,N/A,140.82.112.26,64,0,20,1666897685.391781000,0,MacOS
1,32,N/A,192.168.86.21,N/A,N/A,N/A,140.82.112.26,64,0,20,1666897685.391919000,0,MacOS
1,33,N/A,140.82.112.26,N/A,N/A,N/A,192.168.86.21,49,0,20,1666897685.430141000,0,MacOS
1,34,N/A,142.251.35.202,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897686.005755000,0,MacOS
1,35,N/A,192.168.86.21,N/A,N/A,N/A,142.251.35.202,64,0,20,1666897686.007663000,0,MacOS
0,37,N/A,0.0.0.0,N/A,N/A,N/A,255.255.255.255,2,0,20,1666897688.356978000,0,MacOS
1,38,N/A,192.168.86.21,N/A,N/A,N/A,52.96.57.34,64,0,20,1666897689.657100000,0,MacOS
1,39,N/A,52.96.57.34,N/A,N/A,N/A,192.168.86.21,241,0,20,1666897689.703095000,0,MacOS
1,40,N/A,192.168.86.21,N/A,N/A,N/A,142.250.113.100,64,0,20,1666897690.586550000,0,MacOS
1,41,N/A,192.168.86.21,N/A,N/A,N/A,142.250.113.100,64,0,20,1666897690.594245000,0,MacOS
1,42,N/A,142.250.113.100,N/A,N/A,N/A,192.168.86.21,56,0,20,1666897690.602499000,0,MacOS
1,43,N/A,142.250.113.100,N/A,N/A,N/A,192.168.86.21,56,0,20,1666897690.602500000,0,MacOS
1,44,N/A,192.168.86.21,N/A,N/A,N/A,142.250.113.100,64,0,20,1666897690.603897000,0,MacOS
1,45,N/A,192.168.86.21,N/A,N/A,N/A,142.250.113.100,64,0,20,1666897690.604232000,0,MacOS
1,46,N/A,192.168.86.21,N/A,N/A,N/A,142.250.113.100,64,0,20,1666897690.605153000,0,MacOS
1,47,N/A,192.168.86.21,N/A,N/A,N/A,142.250.113.100,64,0,20,1666897690.605279000,0,MacOS
1,48,N/A,192.168.86.21,N/A,N/A,N/A,142.250.113.100,64,0,20,1666897690.605319000,0,MacOS
1,49,N/A,142.250.113.100,N/A,N/A,N/A,192.168.86.21,56,0,20,1666897690.610768000,0,MacOS
1,50,N/A,142.250.113.100,N/A,N/A,N/A,192.168.86.21,56,0,20,1666897690.612957000,0,MacOS
1,51,N/A,142.250.113.100,N/A,N/A,N/A,192.168.86.21,58,0,20,1666897690.612959000,0,MacOS
1,52,N/A,142.250.113.100,N/A,N/A,N/A,192.168.86.21,58,0,20,1666897690.612959000,0,MacOS
1,53,N/A,192.168.86.21,N/A,N/A,N/A,142.250.113.100,64,0,20,1666897690.613599000,0,MacOS
1,54,N/A,142.250.113.100,N/A,N/A,N/A,192.168.86.21,58,0,20,1666897690.653670000,0,MacOS
1,55,N/A,142.250.113.100,N/A,N/A,N/A,192.168.86.21,58,0,20,1666897690.653671000,0,MacOS
1,56,N/A,192.168.86.21,N/A,N/A,N/A,142.250.113.100,64,0,20,1666897690.653974000,0,MacOS
1,57,N/A,192.168.86.21,N/A,N/A,N/A,142.250.113.100,64,0,20,1666897690.679269000,0,MacOS
1,58,N/A,142.250.113.100,N/A,N/A,N/A,192.168.86.21,58,0,20,1666897690.685758000,0,MacOS
1,59,N/A,192.168.86.21,N/A,N/A,N/A,162.159.130.234,64,0,20,1666897691.321190000,0,MacOS
1,60,N/A,192.168.86.21,N/A,N/A,N/A,162.159.130.234,64,0,20,1666897691.321702000,0,MacOS
1,61,N/A,162.159.130.234,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897691.337200000,0,MacOS
1,62,N/A,192.168.86.21,N/A,N/A,N/A,162.159.130.234,64,0,20,1666897691.337464000,0,MacOS
0,63,N/A,192.168.86.21,N/A,N/A,N/A,192.168.86.1,64,0,20,1666897691.922391000,0,MacOS
1,64,N/A,192.168.86.1,N/A,N/A,N/A,192.168.86.21,64,0,20,1666897691.955377000,0,MacOS
