PROTOCOL,MF_FLAG,PACKET_NO,IP_FRAG_OFF,SRC_PORT,DST_IP,TTL,PACKET_SIZE,KNOWN_HOST_DEVICE,TIMESTAMP,DST_PORT,DF_FLAG,SRC_IP
udp,0,1,0,137,172.16.16.255,128,20,Linux,1258920198.461225000,137,0,172.16.16.128
udp,0,2,0,51857,239.255.255.250,1,20,Linux,1258920198.754318000,1900,0,172.16.16.128
udp,0,3,0,1900,172.16.16.128,64,20,Linux,1258920198.756858000,51857,1,172.16.16.2
udp,0,4,0,61747,224.0.1.60,4,20,Linux,1258920199.062790000,427,1,172.16.16.128
udp,0,6,0,50888,224.0.0.252,1,20,Linux,1258920199.215326000,5355,0,172.16.16.128
udp,0,8,0,50888,224.0.0.252,1,20,Linux,1258920199.317438000,5355,0,172.16.16.128
udp,0,9,0,137,172.16.16.255,128,20,Linux,1258920199.518153000,137,0,172.16.16.128
N/A,0,12,0,N/A,205.203.140.65,128,20,Linux,1258920200.170456000,N/A,1,172.16.16.128
N/A,0,13,0,N/A,205.203.140.65,128,20,Linux,1258920200.170471000,N/A,1,172.16.16.128
N/A,0,14,0,N/A,205.203.140.65,128,20,Linux,1258920200.170476000,N/A,1,172.16.16.128
N/A,0,15,0,N/A,172.16.16.128,242,20,Linux,1258920200.224210000,N/A,0,205.203.140.65
N/A,0,16,0,N/A,172.16.16.128,51,20,Linux,1258920200.228052000,N/A,0,205.203.140.65
N/A,0,17,0,N/A,172.16.16.128,242,20,Linux,1258920200.234142000,N/A,0,205.203.140.65
N/A,0,18,0,N/A,172.16.16.128,242,20,Linux,1258920200.234287000,N/A,0,205.203.140.65
N/A,0,19,0,N/A,205.203.140.65,128,20,Linux,1258920200.234337000,N/A,1,172.16.16.128
N/A,0,20,0,N/A,172.16.16.128,242,20,Linux,1258920200.235758000,N/A,0,205.203.140.65
N/A,0,21,0,N/A,172.16.16.128,242,20,Linux,1258920200.235789000,N/A,0,205.203.140.65
N/A,0,22,0,N/A,205.203.140.65,128,20,Linux,1258920200.235820000,N/A,1,172.16.16.128
N/A,0,23,0,N/A,172.16.16.128,242,20,Linux,1258920200.237652000,N/A,0,205.203.140.65
N/A,0,24,0,N/A,172.16.16.128,242,20,Linux,1258920200.238222000,N/A,0,205.203.140.65
N/A,0,25,0,N/A,172.16.16.128,242,20,Linux,1258920200.238225000,N/A,0,205.203.140.65
N/A,0,26,0,N/A,205.203.140.65,128,20,Linux,1258920200.238272000,N/A,1,172.16.16.128
udp,0,27,0,137,172.16.16.255,128,20,Linux,1258920200.268505000,137,0,172.16.16.128
udp,0,28,0,137,172.16.16.255,128,20,Linux,1258920201.018565000,137,0,172.16.16.128
udp,0,29,0,61531,4.2.2.1,255,20,Linux,1258920201.470627000,53,0,172.16.16.128
udp,0,30,0,53,172.16.16.128,56,20,Linux,1258920201.512091000,61531,0,4.2.2.1
N/A,0,31,0,N/A,157.166.226.25,128,20,Linux,1258920201.642095000,N/A,1,172.16.16.128
N/A,0,32,0,N/A,172.16.16.128,51,20,Linux,1258920201.702875000,N/A,0,157.166.226.25
N/A,0,33,0,N/A,157.166.226.25,128,20,Linux,1258920201.702969000,N/A,1,172.16.16.128
N/A,0,34,0,N/A,209.85.225.148,128,20,Linux,1258920201.703181000,N/A,1,172.16.16.128
N/A,0,35,0,N/A,209.85.225.118,128,20,Linux,1258920201.703288000,N/A,1,172.16.16.128
N/A,0,36,0,N/A,209.85.225.118,128,20,Linux,1258920201.703354000,N/A,1,172.16.16.128
N/A,0,37,0,N/A,209.85.225.133,128,20,Linux,1258920201.703448000,N/A,1,172.16.16.128
N/A,0,38,0,N/A,209.85.225.133,128,20,Linux,1258920201.703517000,N/A,1,172.16.16.128
N/A,0,39,0,N/A,157.166.226.25,128,20,Linux,1258920201.703536000,N/A,1,172.16.16.128
N/A,0,40,0,N/A,209.85.225.133,128,20,Linux,1258920201.703582000,N/A,1,172.16.16.128
N/A,0,41,0,N/A,209.85.225.133,128,20,Linux,1258920201.703658000,N/A,1,172.16.16.128
N/A,0,42,0,N/A,209.85.225.133,128,20,Linux,1258920201.703747000,N/A,1,172.16.16.128
N/A,0,43,0,N/A,209.85.225.118,128,20,Linux,1258920201.703864000,N/A,1,172.16.16.128
N/A,0,44,0,N/A,209.85.225.118,128,20,Linux,1258920201.703928000,N/A,1,172.16.16.128
N/A,0,45,0,N/A,209.85.225.118,128,20,Linux,1258920201.703992000,N/A,1,172.16.16.128
N/A,0,46,0,N/A,74.125.166.28,128,20,Linux,1258920201.704075000,N/A,1,172.16.16.128
N/A,0,47,0,N/A,74.125.166.28,128,20,Linux,1258920201.704147000,N/A,1,172.16.16.128
N/A,0,48,0,N/A,74.125.95.138,128,20,Linux,1258920201.704235000,N/A,1,172.16.16.128
N/A,0,49,0,N/A,205.203.139.162,128,20,Linux,1258920201.704352000,N/A,1,172.16.16.128
N/A,0,50,0,N/A,74.217.1.81,128,20,Linux,1258920201.704468000,N/A,1,172.16.16.128
N/A,0,51,0,N/A,8.18.91.65,128,20,Linux,1258920201.704580000,N/A,1,172.16.16.128
N/A,0,52,0,N/A,74.125.95.155,128,20,Linux,1258920201.704713000,N/A,1,172.16.16.128
N/A,0,53,0,N/A,74.125.95.149,128,20,Linux,1258920201.704817000,N/A,1,172.16.16.128
N/A,0,54,0,N/A,74.125.95.149,128,20,Linux,1258920201.704878000,N/A,1,172.16.16.128
N/A,0,55,0,N/A,74.125.95.149,128,20,Linux,1258920201.704950000,N/A,1,172.16.16.128
N/A,0,56,0,N/A,74.125.95.149,128,20,Linux,1258920201.705015000,N/A,1,172.16.16.128
N/A,0,57,0,N/A,74.125.95.101,128,20,Linux,1258920201.705167000,N/A,1,172.16.16.128
N/A,0,58,0,N/A,209.85.225.106,128,20,Linux,1258920201.705255000,N/A,1,172.16.16.128
udp,0,59,0,51857,239.255.255.250,1,20,Linux,1258920201.755697000,1900,0,172.16.16.128
udp,0,60,0,1900,172.16.16.128,64,20,Linux,1258920201.758660000,51857,1,172.16.16.2
N/A,0,61,0,N/A,172.16.16.128,51,20,Linux,1258920201.767236000,N/A,0,157.166.226.25
udp,0,63,0,62631,224.0.0.252,1,20,Linux,1258920201.770004000,5355,0,172.16.16.128
N/A,0,64,0,N/A,172.16.16.128,51,20,Linux,1258920201.772880000,N/A,0,157.166.226.25
N/A,0,65,0,N/A,172.16.16.128,51,20,Linux,1258920201.773175000,N/A,0,157.166.226.25
N/A,0,66,0,N/A,157.166.226.25,128,20,Linux,1258920201.773219000,N/A,1,172.16.16.128
N/A,0,67,0,N/A,204.160.104.126,128,20,Linux,1258920201.778671000,N/A,1,172.16.16.128
N/A,0,68,0,N/A,204.160.104.126,128,20,Linux,1258920201.779067000,N/A,1,172.16.16.128
N/A,0,69,0,N/A,204.160.104.126,128,20,Linux,1258920201.779434000,N/A,1,172.16.16.128
