DF_FLAG,IP_FRAG_OFF,KNOWN_HOST_DEVICE,PACKET_SIZE,TIMESTAMP,TTL,PACKET_NO,PROTOCOL,SRC_PORT,DST_IP,MF_FLAG,DST_PORT,SRC_IP
1,0,MacOS,20,1666897669.673713000,64,1,udp,52419,52.96.57.34,0,443,192.168.86.21
1,0,MacOS,20,1666897669.723570000,241,2,udp,443,192.168.86.21,0,52419,52.96.57.34
0,0,MacOS,20,1666897670.427628000,64,3,N/A,N/A,140.82.112.26,0,N/A,192.168.86.21
1,0,MacOS,20,1666897670.471778000,49,4,N/A,N/A,192.168.86.21,0,N/A,140.82.112.26
0,0,MacOS,20,1666897672.587611000,255,5,udp,5353,224.0.0.251,0,5353,192.168.86.23
0,0,MacOS,20,1666897674.523106000,255,7,udp,5353,224.0.0.251,0,5353,192.168.86.21
1,0,MacOS,20,1666897674.656960000,241,9,udp,443,192.168.86.21,0,52419,52.96.57.34
1,0,MacOS,20,1666897674.660267000,64,10,udp,52419,52.96.57.34,0,443,192.168.86.21
1,0,MacOS,20,1666897675.356645000,57,12,N/A,N/A,192.168.86.21,0,N/A,162.159.130.234
1,0,MacOS,20,1666897675.356762000,64,13,N/A,N/A,162.159.130.234,0,N/A,192.168.86.21
1,0,MacOS,20,1666897678.838183000,57,14,N/A,N/A,192.168.86.21,0,N/A,162.159.130.234
1,0,MacOS,20,1666897678.838276000,64,15,N/A,N/A,162.159.130.234,0,N/A,192.168.86.21
1,0,MacOS,20,1666897679.101111000,64,16,udp,65355,17.248.131.29,0,443,192.168.86.21
1,0,MacOS,20,1666897679.103078000,64,17,udp,65355,17.248.131.29,0,443,192.168.86.21
1,0,MacOS,20,1666897679.111717000,53,18,udp,443,192.168.86.21,0,65355,17.248.131.29
1,0,MacOS,20,1666897679.112449000,46,19,udp,443,192.168.86.21,0,65355,17.248.131.29
1,0,MacOS,20,1666897680.732514000,64,20,udp,56692,142.251.35.202,0,443,192.168.86.21
1,0,MacOS,20,1666897680.744277000,57,21,udp,443,192.168.86.21,0,56692,142.251.35.202
0,0,MacOS,20,1666897681.902265000,64,22,N/A,N/A,108.138.156.125,0,N/A,192.168.86.21
0,0,MacOS,20,1666897681.912000000,248,23,N/A,N/A,192.168.86.21,0,N/A,108.138.156.125
1,0,MacOS,20,1666897682.421957000,57,24,N/A,N/A,192.168.86.21,0,N/A,162.159.130.234
1,0,MacOS,20,1666897682.422059000,64,25,N/A,N/A,162.159.130.234,0,N/A,192.168.86.21
1,0,MacOS,20,1666897683.036338000,57,26,udp,443,192.168.86.21,0,56692,142.251.35.202
1,0,MacOS,20,1666897683.037990000,64,27,udp,56692,142.251.35.202,0,443,192.168.86.21
1,0,MacOS,20,1666897683.446009000,57,28,N/A,N/A,192.168.86.21,0,N/A,162.159.130.234
1,0,MacOS,20,1666897683.446105000,64,29,N/A,N/A,162.159.130.234,0,N/A,192.168.86.21
1,0,MacOS,20,1666897685.391596000,49,30,N/A,N/A,192.168.86.21,0,N/A,140.82.112.26
1,0,MacOS,20,1666897685.391781000,64,31,N/A,N/A,140.82.112.26,0,N/A,192.168.86.21
1,0,MacOS,20,1666897685.391919000,64,32,N/A,N/A,140.82.112.26,0,N/A,192.168.86.21
1,0,MacOS,20,1666897685.430141000,49,33,N/A,N/A,192.168.86.21,0,N/A,140.82.112.26
1,0,MacOS,20,1666897686.005755000,57,34,udp,443,192.168.86.21,0,56692,142.251.35.202
1,0,MacOS,20,1666897686.007663000,64,35,udp,56692,142.251.35.202,0,443,192.168.86.21
0,0,MacOS,20,1666897688.356978000,2,37,udp,68,255.255.255.255,0,67,0.0.0.0
1,0,MacOS,20,1666897689.657100000,64,38,udp,52419,52.96.57.34,0,443,192.168.86.21
1,0,MacOS,20,1666897689.703095000,241,39,udp,443,192.168.86.21,0,52419,52.96.57.34
1,0,MacOS,20,1666897690.586550000,64,40,udp,55620,142.250.113.100,0,443,192.168.86.21
1,0,MacOS,20,1666897690.594245000,64,41,udp,55620,142.250.113.100,0,443,192.168.86.21
1,0,MacOS,20,1666897690.602499000,56,42,udp,443,192.168.86.21,0,55620,142.250.113.100
1,0,MacOS,20,1666897690.602500000,56,43,udp,443,192.168.86.21,0,55620,142.250.113.100
1,0,MacOS,20,1666897690.603897000,64,44,udp,55620,142.250.113.100,0,443,192.168.86.21
1,0,MacOS,20,1666897690.604232000,64,45,udp,55620,142.250.113.100,0,443,192.168.86.21
1,0,MacOS,20,1666897690.605153000,64,46,udp,55620,142.250.113.100,0,443,192.168.86.21
1,0,MacOS,20,1666897690.605279000,64,47,udp,55620,142.250.113.100,0,443,192.168.86.21
1,0,MacOS,20,1666897690.605319000,64,48,udp,55620,142.250.113.100,0,443,192.168.86.21
1,0,MacOS,20,1666897690.610768000,56,49,udp,443,192.168.86.21,0,55620,142.250.113.100
1,0,MacOS,20,1666897690.612957000,56,50,udp,443,192.168.86.21,0,55620,142.250.113.100
1,0,MacOS,20,1666897690.612959000,58,51,udp,443,192.168.86.21,0,55620,142.250.113.100
1,0,MacOS,20,1666897690.612959000,58,52,udp,443,192.168.86.21,0,55620,142.250.113.100
1,0,MacOS,20,1666897690.613599000,64,53,udp,55620,142.250.113.100,0,443,192.168.86.21
1,0,MacOS,20,1666897690.653670000,58,54,udp,443,192.168.86.21,0,55620,142.250.113.100
1,0,MacOS,20,1666897690.653671000,58,55,udp,443,192.168.86.21,0,55620,142.250.113.100
1,0,MacOS,20,1666897690.653974000,64,56,udp,55620,142.250.113.100,0,443,192.168.86.21
1,0,MacOS,20,1666897690.679269000,64,57,udp,55620,142.250.113.100,0,443,192.168.86.21
1,0,MacOS,20,1666897690.685758000,58,58,udp,443,192.168.86.21,0,55620,142.250.113.100
1,0,MacOS,20,1666897691.321190000,64,59,N/A,N/A,162.159.130.234,0,N/A,192.168.86.21
1,0,MacOS,20,1666897691.321702000,64,60,N/A,N/A,162.159.130.234,0,N/A,192.168.86.21
1,0,MacOS,20,1666897691.337200000,57,61,N/A,N/A,192.168.86.21,0,N/A,162.159.130.234
1,0,MacOS,20,1666897691.337464000,64,62,N/A,N/A,162.159.130.234,0,N/A,192.168.86.21
0,0,MacOS,20,1666897691.922391000,64,63,udp,33155,192.168.86.1,0,53,192.168.86.21
1,0,MacOS,20,1666897691.955377000,64,64,udp,53,192.168.86.21,0,33155,192.168.86.1
1,0,MacOS,20,1666897691.955682000,64,65,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897691.997806000,48,66,N/A,N/A,192.168.86.21,0,N/A,140.82.113.6
1,0,MacOS,20,1666897691.997919000,64,67,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897691.998412000,64,68,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897692.044152000,48,69,N/A,N/A,192.168.86.21,0,N/A,140.82.113.6
1,0,MacOS,20,1666897692.044153000,48,70,N/A,N/A,192.168.86.21,0,N/A,140.82.113.6
1,0,MacOS,20,1666897692.044215000,64,71,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897692.044258000,64,72,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897692.044918000,64,73,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897692.045094000,64,74,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897692.045247000,64,75,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897692.084287000,48,76,N/A,N/A,192.168.86.21,0,N/A,140.82.113.6
1,0,MacOS,20,1666897692.084288000,48,77,N/A,N/A,192.168.86.21,0,N/A,140.82.113.6
1,0,MacOS,20,1666897692.084288000,48,78,N/A,N/A,192.168.86.21,0,N/A,140.82.113.6
1,0,MacOS,20,1666897692.084391000,64,79,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897692.085079000,48,80,N/A,N/A,192.168.86.21,0,N/A,140.82.113.6
1,0,MacOS,20,1666897692.085172000,64,81,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897692.085475000,64,82,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897692.157573000,48,83,N/A,N/A,192.168.86.21,0,N/A,140.82.113.6
1,0,MacOS,20,1666897692.157659000,64,84,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897692.158308000,64,85,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897692.241507000,48,86,N/A,N/A,192.168.86.21,0,N/A,140.82.113.6
1,0,MacOS,20,1666897693.287879000,64,87,N/A,N/A,140.82.112.26,0,N/A,192.168.86.21
1,0,MacOS,20,1666897693.289281000,64,88,N/A,N/A,140.82.112.26,0,N/A,192.168.86.21
1,0,MacOS,20,1666897693.314730000,64,89,N/A,N/A,185.199.108.133,0,N/A,192.168.86.21
1,0,MacOS,20,1666897693.315474000,64,90,N/A,N/A,140.82.113.6,0,N/A,192.168.86.21
1,0,MacOS,20,1666897693.319976000,58,91,N/A,N/A,192.168.86.21,0,N/A,185.199.108.133
1,0,MacOS,20,1666897693.319977000,58,92,N/A,N/A,192.168.86.21,0,N/A,185.199.108.133
