TTL,SRC_PORT,DF_FLAG,TIMESTAMP,MF_FLAG,DST_PORT,SRC_IP,DST_IP,KNOWN_HOST_DEVICE,PROTOCOL,PACKET_SIZE,PACKET_NO,IP_FRAG_OFF
53,N/A,1,1663877064.358584000,0,N/A,162.159.133.234,10.169.169.21,Windows,N/A,20,5,0
128,N/A,1,1663877064.398792000,0,N/A,10.169.169.21,162.159.133.234,Windows,N/A,20,6,0
53,N/A,1,1663877065.586375000,0,N/A,162.159.133.234,10.169.169.21,Windows,N/A,20,10,0
128,N/A,1,1663877065.627037000,0,N/A,10.169.169.21,162.159.133.234,Windows,N/A,20,11,0
53,N/A,1,1663877066.409957000,0,N/A,162.159.133.234,10.169.169.21,Windows,N/A,20,12,0
128,N/A,1,1663877066.451209000,0,N/A,10.169.169.21,162.159.133.234,Windows,N/A,20,13,0
128,N/A,1,1663877068.644652000,0,N/A,10.169.169.21,140.82.112.26,Windows,N/A,20,15,0
48,N/A,1,1663877068.684704000,0,N/A,140.82.112.26,10.169.169.21,Windows,N/A,20,16,0
128,65380,1,1663877072.844875000,0,443,10.169.169.21,34.98.127.226,Windows,udp,20,25,0
128,N/A,1,1663877072.862411000,0,N/A,10.169.169.21,34.98.127.226,Windows,N/A,20,26,0
128,N/A,1,1663877072.862609000,0,N/A,10.169.169.21,34.98.127.226,Windows,N/A,20,27,0
55,443,1,1663877072.868413000,0,65380,34.98.127.226,10.169.169.21,Windows,udp,20,28,0
118,N/A,0,1663877072.868413000,0,N/A,34.98.127.226,10.169.169.21,Windows,N/A,20,29,0
118,N/A,0,1663877072.868673000,0,N/A,34.98.127.226,10.169.169.21,Windows,N/A,20,30,0
118,N/A,0,1663877072.869101000,0,N/A,34.98.127.226,10.169.169.21,Windows,N/A,20,31,0
128,65380,1,1663877072.869967000,0,443,10.169.169.21,34.98.127.226,Windows,udp,20,32,0
128,65380,1,1663877072.870181000,0,443,10.169.169.21,34.98.127.226,Windows,udp,20,33,0
55,443,1,1663877072.874296000,0,65380,34.98.127.226,10.169.169.21,Windows,udp,20,34,0
55,443,1,1663877072.874675000,0,65380,34.98.127.226,10.169.169.21,Windows,udp,20,35,0
128,65380,1,1663877072.875011000,0,443,10.169.169.21,34.98.127.226,Windows,udp,20,36,0
55,443,1,1663877072.898928000,0,65380,34.98.127.226,10.169.169.21,Windows,udp,20,37,0
128,N/A,1,1663877072.909643000,0,N/A,10.169.169.21,34.98.127.226,Windows,N/A,20,38,0
118,N/A,0,1663877072.975624000,0,N/A,34.98.127.226,10.169.169.21,Windows,N/A,20,39,0
118,N/A,0,1663877072.977903000,0,N/A,34.98.127.226,10.169.169.21,Windows,N/A,20,40,0
118,N/A,0,1663877072.977903000,0,N/A,34.98.127.226,10.169.169.21,Windows,N/A,20,41,0
118,N/A,0,1663877072.977903000,0,N/A,34.98.127.226,10.169.169.21,Windows,N/A,20,42,0
128,N/A,1,1663877072.978075000,0,N/A,10.169.169.21,34.98.127.226,Windows,N/A,20,43,0
128,N/A,1,1663877072.978385000,0,N/A,10.169.169.21,34.98.127.226,Windows,N/A,20,44,0
118,N/A,0,1663877072.980679000,0,N/A,34.98.127.226,10.169.169.21,Windows,N/A,20,45,0
