TLS_EXTENSION_SIG_ALGS,DST_PORT,TCP_URP,SRC_IP,TCP_ACK,IP_FRAG_OFF,SUB_PROTOCOL,DST_IP,MF_FLAG,PACKET_SIZE,TCP_OPTIONS,KNOWN_HOST_DEVICE,TLS_VERSION,TLS_CIPHER_SUITES,TCP_HDR_LEN,PACKET_NO,TCP_FLAGS,SRC_PORT,HTTP_USER_AGENT,TIMESTAMP,DF_FLAG,TTL,TCP_SEQ,PROTOCOL,TCP_WINDOW_SIZE
N/A,443,N/A,10.169.169.63,N/A,0,N/A,142.251.32.202,0,20,N/A,MacOS,N/A,N/A,N/A,2,N/A,53894,N/A,1663875289.808525000,1,64,N/A,udp,N/A
N/A,53894,N/A,142.251.32.202,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,3,N/A,443,N/A,1663875289.818836000,1,55,N/A,udp,N/A
N/A,53,N/A,10.169.169.63,N/A,0,N/A,10.100.128.15,0,20,N/A,MacOS,N/A,N/A,N/A,6,N/A,53961,N/A,1663875290.510506000,0,64,N/A,udp,N/A
N/A,53,N/A,10.169.169.63,N/A,0,N/A,10.100.128.15,0,20,N/A,MacOS,N/A,N/A,N/A,7,N/A,22623,N/A,1663875290.510633000,0,64,N/A,udp,N/A
N/A,22623,N/A,10.100.128.15,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,8,N/A,53,N/A,1663875290.521150000,0,61,N/A,udp,N/A
N/A,53961,N/A,10.100.128.15,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,9,N/A,53,N/A,1663875290.523368000,0,61,N/A,udp,N/A
N/A,443,N/A,10.169.169.63,N/A,0,N/A,142.251.33.14,0,20,N/A,MacOS,N/A,N/A,N/A,10,N/A,59930,N/A,1663875290.524577000,1,64,N/A,udp,N/A
N/A,443,N/A,10.169.169.63,N/A,0,N/A,142.251.33.14,0,20,N/A,MacOS,N/A,N/A,N/A,11,N/A,59930,N/A,1663875290.525099000,1,64,N/A,udp,N/A
N/A,59930,N/A,142.251.33.14,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,12,N/A,443,N/A,1663875290.537685000,1,54,N/A,udp,N/A
N/A,443,N/A,10.169.169.63,N/A,0,N/A,142.251.33.14,0,20,N/A,MacOS,N/A,N/A,N/A,13,N/A,59930,N/A,1663875290.538153000,1,64,N/A,udp,N/A
N/A,59930,N/A,142.251.33.14,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,14,N/A,443,N/A,1663875290.538223000,1,54,N/A,udp,N/A
N/A,59930,N/A,142.251.33.14,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,15,N/A,443,N/A,1663875290.538224000,1,54,N/A,udp,N/A
N/A,443,N/A,10.169.169.63,N/A,0,N/A,142.251.33.14,0,20,N/A,MacOS,N/A,N/A,N/A,16,N/A,59930,N/A,1663875290.538371000,1,64,N/A,udp,N/A
N/A,443,N/A,10.169.169.63,N/A,0,N/A,142.251.33.14,0,20,N/A,MacOS,N/A,N/A,N/A,17,N/A,59930,N/A,1663875290.538397000,1,64,N/A,udp,N/A
N/A,443,N/A,10.169.169.63,N/A,0,N/A,142.251.33.14,0,20,N/A,MacOS,N/A,N/A,N/A,18,N/A,59930,N/A,1663875290.538525000,1,64,N/A,udp,N/A
N/A,59930,N/A,142.251.33.14,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,19,N/A,443,N/A,1663875290.540988000,1,54,N/A,udp,N/A
N/A,59930,N/A,142.251.33.14,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,20,N/A,443,N/A,1663875290.542301000,1,54,N/A,udp,N/A
N/A,443,N/A,10.169.169.63,N/A,0,N/A,142.251.33.14,0,20,N/A,MacOS,N/A,N/A,N/A,21,N/A,59930,N/A,1663875290.542438000,1,64,N/A,udp,N/A
N/A,59930,N/A,142.251.33.14,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,22,N/A,443,N/A,1663875290.542794000,1,54,N/A,udp,N/A
N/A,59930,N/A,142.251.33.14,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,23,N/A,443,N/A,1663875290.560198000,1,54,N/A,udp,N/A
N/A,443,N/A,10.169.169.63,N/A,0,N/A,142.251.33.14,0,20,N/A,MacOS,N/A,N/A,N/A,24,N/A,59930,N/A,1663875290.560469000,1,64,N/A,udp,N/A
N/A,59930,N/A,142.251.33.14,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,25,N/A,443,N/A,1663875290.560533000,1,54,N/A,udp,N/A
N/A,59930,N/A,142.251.33.14,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,26,N/A,443,N/A,1663875290.560533000,1,54,N/A,udp,N/A
N/A,443,N/A,10.169.169.63,N/A,0,N/A,142.251.33.14,0,20,N/A,MacOS,N/A,N/A,N/A,27,N/A,59930,N/A,1663875290.560875000,1,64,N/A,udp,N/A
N/A,59930,N/A,142.251.33.14,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,28,N/A,443,N/A,1663875290.588958000,1,54,N/A,udp,N/A
N/A,443,N/A,10.169.169.63,N/A,0,N/A,142.251.32.202,0,20,N/A,MacOS,N/A,N/A,N/A,29,N/A,53894,N/A,1663875290.620258000,1,64,N/A,udp,N/A
N/A,53894,N/A,142.251.32.202,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,30,N/A,443,N/A,1663875290.626256000,1,55,N/A,udp,N/A
N/A,54735,N/A,52.96.8.130,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,33,N/A,443,N/A,1663875291.449006000,1,237,N/A,udp,N/A
N/A,443,N/A,10.169.169.63,N/A,0,N/A,52.96.8.130,0,20,N/A,MacOS,N/A,N/A,N/A,34,N/A,54735,N/A,1663875291.452071000,1,64,N/A,udp,N/A
N/A,443,N/A,10.169.169.63,N/A,0,N/A,52.96.8.130,0,20,N/A,MacOS,N/A,N/A,N/A,35,N/A,54735,N/A,1663875291.650529000,1,64,N/A,udp,N/A
N/A,54735,N/A,52.96.8.130,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,36,N/A,443,N/A,1663875291.689314000,1,237,N/A,udp,N/A
N/A,443,N/A,10.169.169.63,N/A,0,N/A,52.96.8.130,0,20,N/A,MacOS,N/A,N/A,N/A,37,N/A,54735,N/A,1663875291.890853000,1,64,N/A,udp,N/A
