TLS_EXTENSION_SIG_ALGS,TLS_CIPHER_SUITES,IP_FRAG_OFF,TCP_OPTIONS,TCP_ACK,TIMESTAMP,TTL,DF_FLAG,TCP_SEQ,MF_FLAG,PROTOCOL,SUB_PROTOCOL,TCP_WINDOW_SIZE,PACKET_NO,DST_PORT,TCP_FLAGS,TLS_VERSION,HTTP_USER_AGENT,SRC_PORT,DST_IP,SRC_IP,PACKET_SIZE,TCP_HDR_LEN,KNOWN_HOST_DEVICE,TCP_URP
N/A,N/A,0,N/A,1,1663877499.820012000,42,1,2443970062,0,tcp,N/A,346,1,1077,·······AP···,N/A,N/A,443,10.169.161.162,35.169.217.52,20,20,Windows,0
N/A,N/A,0,N/A,510,1663877499.837987000,128,1,470033600,0,tcp,N/A,511,2,443,·······AP···,N/A,N/A,1077,35.169.217.52,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,1894,1663877499.877451000,42,1,2443970571,0,tcp,N/A,361,3,1077,·······A····,N/A,N/A,443,10.169.161.162,35.169.217.52,20,20,Windows,0
N/A,N/A,0,02:04:05:b4:01:03:03:08:01:01:04:02,0,1663877503.557543000,128,1,2339530235,0,tcp,N/A,64240,4,443,··········S·,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,32,Windows,0
N/A,N/A,0,02:04:05:84:01:01:04:02:01:03:03:08,1,1663877503.566059000,118,1,3162042541,0,tcp,N/A,65535,5,1197,·······A··S·,N/A,N/A,443,10.169.161.162,142.251.33.36,20,32,Windows,0
N/A,N/A,0,N/A,1,1663877503.566268000,128,1,2339530236,0,tcp,N/A,512,6,443,·······A····,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
0x0403,0xfafa,0,N/A,1,1663877503.566675000,128,1,2339530236,0,tcp,tls,512,7,443,·······AP···,0x0301,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,518,1663877503.571450000,118,0,3162042542,0,tcp,N/A,261,8,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,518,1663877503.571555000,118,0,3162042542,0,tcp,N/A,261,9,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,518,1663877503.572103000,118,0,3162043954,0,tcp,N/A,261,10,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,518,1663877503.572103000,118,0,3162045366,0,tcp,N/A,261,11,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,4237,1663877503.572151000,128,1,2339530753,0,tcp,N/A,512,12,443,·······A····,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,518,1663877503.573442000,118,0,3162046778,0,tcp,N/A,261,13,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,4404,1663877503.573497000,128,1,2339530753,0,tcp,N/A,512,14,443,·······A····,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,4404,1663877503.574281000,128,1,2339530753,0,tcp,N/A,512,15,443,·······AP···,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,4404,1663877503.574577000,128,1,2339530827,0,tcp,N/A,512,16,443,·······AP···,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,4404,1663877503.574786000,128,1,2339530919,0,tcp,N/A,512,17,443,·······AP···,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
