PACKET_NO,KNOWN_HOST_DEVICE,DST_IP,SRC_IP,PACKET_SIZE,TIMESTAMP,TTL,DF_FLAG,MF_FLAG,IP_FRAG_OFF,PROTOCOL,SRC_PORT,DST_PORT,SUB_PROTOCOL
5,windows,10.169.169.21,162.159.133.234,20,1663877064.358584000,53,1,0,0,tcp,443,53331,tls
6,windows,162.159.133.234,10.169.169.21,20,1663877064.398792000,128,1,0,0,tcp,53331,443,
10,windows,10.169.169.21,162.159.133.234,20,1663877065.586375000,53,1,0,0,tcp,443,53331,tls
11,windows,162.159.133.234,10.169.169.21,20,1663877065.627037000,128,1,0,0,tcp,53331,443,
12,windows,10.169.169.21,162.159.133.234,20,1663877066.409957000,53,1,0,0,tcp,443,53331,tls
13,windows,162.159.133.234,10.169.169.21,20,1663877066.451209000,128,1,0,0,tcp,53331,443,
15,windows,140.82.112.26,10.169.169.21,20,1663877068.644652000,128,1,0,0,tcp,58753,443,tls
16,windows,10.169.169.21,140.82.112.26,20,1663877068.684704000,48,1,0,0,tcp,443,58753,
25,windows,34.98.127.226,10.169.169.21,20,1663877072.844875000,128,1,0,0,udp,65380,443,quic
26,windows,34.98.127.226,10.169.169.21,20,1663877072.862411000,128,1,0,0,tcp,64077,443,tls
27,windows,34.98.127.226,10.169.169.21,20,1663877072.862609000,128,1,0,0,tcp,64077,443,tls
28,windows,10.169.169.21,34.98.127.226,20,1663877072.868413000,55,1,0,0,udp,443,65380,quic
29,windows,10.169.169.21,34.98.127.226,20,1663877072.868413000,118,0,0,0,tcp,443,64077,
30,windows,10.169.169.21,34.98.127.226,20,1663877072.868673000,118,0,0,0,tcp,443,64077,
31,windows,10.169.169.21,34.98.127.226,20,1663877072.869101000,118,0,0,0,tcp,443,64077,tls
32,windows,34.98.127.226,10.169.169.21,20,1663877072.869967000,128,1,0,0,udp,65380,443,quic
33,windows,34.98.127.226,10.169.169.21,20,1663877072.870181000,128,1,0,0,udp,65380,443,quic
34,windows,10.169.169.21,34.98.127.226,20,1663877072.874296000,55,1,0,0,udp,443,65380,quic
35,windows,10.169.169.21,34.98.127.226,20,1663877072.874675000,55,1,0,0,udp,443,65380,quic
36,windows,34.98.127.226,10.169.169.21,20,1663877072.875011000,128,1,0,0,udp,65380,443,quic
37,windows,10.169.169.21,34.98.127.226,20,1663877072.898928000,55,1,0,0,udp,443,65380,quic
38,windows,34.98.127.226,10.169.169.21,20,1663877072.909643000,128,1,0,0,tcp,64077,443,
39,windows,10.169.169.21,34.98.127.226,20,1663877072.975624000,118,0,0,0,tcp,443,64077,tls
40,windows,10.169.169.21,34.98.127.226,20,1663877072.977903000,118,0,0,0,tcp,443,64077,tls
41,windows,10.169.169.21,34.98.127.226,20,1663877072.977903000,118,0,0,0,tcp,443,64077,tls
42,windows,10.169.169.21,34.98.127.226,20,1663877072.977903000,118,0,0,0,tcp,443,64077,tls
43,windows,34.98.127.226,10.169.169.21,20,1663877072.978075000,128,1,0,0,tcp,64077,443,
44,windows,34.98.127.226,10.169.169.21,20,1663877072.978385000,128,1,0,0,tcp,64077,443,tls
45,windows,10.169.169.21,34.98.127.226,20,1663877072.980679000,118,0,0,0,tcp,443,64077,tls
46,windows,10.169.169.21,34.98.127.226,20,1663877072.980679000,118,0,0,0,tcp,443,64077,tls
47,windows,10.169.169.21,34.98.127.226,20,1663877072.980679000,118,0,0,0,tcp,443,64077,tls
48,windows,10.169.169.21,34.98.127.226,20,1663877072.980679000,118,0,0,0,tcp,443,64077,tls
49,windows,10.169.169.21,34.98.127.226,20,1663877072.980679000,118,0,0,0,tcp,443,64077,tls
50,windows,10.169.169.21,34.98.127.226,20,1663877072.980679000,118,0,0,0,tcp,443,64077,tls
