DST_IP,PACKET_NO,SRC_PORT,TCP_URP,PACKET_SIZE,TCP_FLAGS,TCP_WINDOW_SIZE,DST_PORT,TCP_ACK,PROTOCOL,KNOWN_HOST_DEVICE,DF_FLAG,TLS_EXTENSION_SIG_ALGS,TCP_HDR_LEN,MF_FLAG,TIMESTAMP,SUB_PROTOCOL,IP_FRAG_OFF,SRC_IP,TLS_CIPHER_SUITES,TCP_SEQ,TLS_VERSION,TTL,TCP_OPTIONS
52.96.57.34,1,52419,N/A,20,N/A,N/A,443,N/A,udp,MacOS,1,N/A,N/A,0,1666897669.673713000,N/A,0,192.168.86.21,N/A,N/A,N/A,64,N/A
192.168.86.21,2,443,N/A,20,N/A,N/A,52419,N/A,udp,MacOS,1,N/A,N/A,0,1666897669.723570000,N/A,0,52.96.57.34,N/A,N/A,N/A,241,N/A
140.82.112.26,3,56448,0,20,·······A····,2048,443,1,tcp,MacOS,0,N/A,20,0,1666897670.427628000,N/A,0,192.168.86.21,N/A,79416466,N/A,64,N/A
192.168.86.21,4,443,0,20,·······A····,70,56448,2,tcp,MacOS,1,N/A,32,0,1666897670.471778000,N/A,0,140.82.112.26,N/A,1061432540,N/A,49,01:01:08:0a:30:97:39:af:c4:8e:a3:24
224.0.0.251,5,5353,N/A,20,N/A,N/A,5353,N/A,udp,MacOS,0,N/A,N/A,0,1666897672.587611000,N/A,0,192.168.86.23,N/A,N/A,N/A,255,N/A
224.0.0.251,7,5353,N/A,20,N/A,N/A,5353,N/A,udp,MacOS,0,N/A,N/A,0,1666897674.523106000,N/A,0,192.168.86.21,N/A,N/A,N/A,255,N/A
192.168.86.21,9,443,N/A,20,N/A,N/A,52419,N/A,udp,MacOS,1,N/A,N/A,0,1666897674.656960000,N/A,0,52.96.57.34,N/A,N/A,N/A,241,N/A
52.96.57.34,10,52419,N/A,20,N/A,N/A,443,N/A,udp,MacOS,1,N/A,N/A,0,1666897674.660267000,N/A,0,192.168.86.21,N/A,N/A,N/A,64,N/A
192.168.86.21,12,443,0,20,·······AP···,8,56447,1,tcp,MacOS,1,N/A,20,0,1666897675.356645000,N/A,0,162.159.130.234,N/A,3674959656,N/A,57,N/A
162.159.130.234,13,56447,0,20,·······A····,4095,443,45,tcp,MacOS,1,N/A,20,0,1666897675.356762000,N/A,0,192.168.86.21,N/A,3511176516,N/A,64,N/A
192.168.86.21,14,443,0,20,·······AP···,8,56447,1,tcp,MacOS,1,N/A,20,0,1666897678.838183000,N/A,0,162.159.130.234,N/A,3674959700,N/A,57,N/A
162.159.130.234,15,56447,0,20,·······A····,4094,443,134,tcp,MacOS,1,N/A,20,0,1666897678.838276000,N/A,0,192.168.86.21,N/A,3511176516,N/A,64,N/A
17.248.131.29,16,65355,N/A,20,N/A,N/A,443,N/A,udp,MacOS,1,N/A,N/A,0,1666897679.101111000,N/A,0,192.168.86.21,N/A,N/A,N/A,64,N/A
17.248.131.29,17,65355,N/A,20,N/A,N/A,443,N/A,udp,MacOS,1,N/A,N/A,0,1666897679.103078000,N/A,0,192.168.86.21,N/A,N/A,N/A,64,N/A
192.168.86.21,18,443,N/A,20,N/A,N/A,65355,N/A,udp,MacOS,1,N/A,N/A,0,1666897679.111717000,N/A,0,17.248.131.29,N/A,N/A,N/A,53,N/A
192.168.86.21,19,443,N/A,20,N/A,N/A,65355,N/A,udp,MacOS,1,N/A,N/A,0,1666897679.112449000,N/A,0,17.248.131.29,N/A,N/A,N/A,46,N/A
142.251.35.202,20,56692,N/A,20,N/A,N/A,443,N/A,udp,MacOS,1,N/A,N/A,0,1666897680.732514000,N/A,0,192.168.86.21,N/A,N/A,N/A,64,N/A
192.168.86.21,21,443,N/A,20,N/A,N/A,56692,N/A,udp,MacOS,1,N/A,N/A,0,1666897680.744277000,N/A,0,142.251.35.202,N/A,N/A,N/A,57,N/A
108.138.156.125,22,56506,0,20,·······A····,2048,443,1,tcp,MacOS,0,N/A,20,0,1666897681.902265000,N/A,0,192.168.86.21,N/A,3929612546,N/A,64,N/A
192.168.86.21,23,443,0,20,·······A····,133,56506,2,tcp,MacOS,0,N/A,32,0,1666897681.912000000,N/A,0,108.138.156.125,N/A,3425349524,N/A,248,01:01:08:0a:ed:9e:6a:72:f4:03:39:97
